노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,238577,244287,482864
1호선,동묘앞,166989,176439,343428
1호선,서울역,847721,802861,1650582
1호선,시청,411915,414055,825970
1호선,신설동,290484,288655,579139
1호선,제기동,346296,354975,701271
1호선,종각,743303,726140,1469443
1호선,종로3가,541002,507273,1048275
1호선,종로5가,470629,471107,941736
1호선,청량리(서울시립대입구),420707,419087,839794
2호선,강남,1726499,1724267,3450766
2호선,강변(동서울터미널),656825,643741,1300566
2호선,건대입구,676070,736131,1412201
2호선,교대(법원.검찰청),692220,784910,1477130
2호선,구로디지털단지,1218546,1218693,2437239
2호선,구의(광진구청),474454,461507,935961
2호선,낙성대(강감찬),544325,519255,1063580
2호선,당산,393853,452881,846734
2호선,대림(구로구청),506642,514081,1020723
2호선,도림천,23838,25320,49158
2호선,동대문역사문화공원(DDP),238528,266112,504640
2호선,뚝섬,391820,422910,814730
2호선,문래,416347,427466,843813
2호선,방배,338750,349168,687918
2호선,봉천,490617,451029,941646
2호선,사당,739597,817788,1557385
2호선,삼성(무역센터),993750,1018742,2012492
2호선,상왕십리,271921,261601,533522
2호선,서울대입구(관악구청),952877,926622,1879499
2호선,서초,424079,421610,845689
2호선,선릉,1136554,1018483,2155037
2호선,성수,634929,701936,1336865
2호선,시청,464466,463471,927937
2호선,신답,31408,35336,66744
2호선,신당,274110,279030,553140
2호선,신대방,534137,510501,1044638
2호선,신도림,983628,964821,1948449
2호선,신림,1278326,1227146,2505472
2호선,신설동,65469,63328,128797
2호선,신정네거리,189134,198069,387203
2호선,신촌,632968,658217,1291185
2호선,아현,192163,182816,374979
2호선,양천구청,132305,138482,270787
2호선,역삼,982604,1090289,2072893
2호선,영등포구청,449822,457700,907522
2호선,왕십리(성동구청),315904,264243,580147
2호선,용답,50028,48677,98705
2호선,용두(동대문구청),45447,47275,92722
2호선,을지로3가,412948,415769,828717
2호선,을지로4가,259604,257505,517109
2호선,을지로입구,755266,773021,1528287
2호선,이대,230008,238924,468932
2호선,잠실(송파구청),1297433,1279551,2576984
2호선,잠실나루,291861,281859,573720
2호선,잠실새내,408195,416269,824464
2호선,종합운동장,138581,149367,287948
2호선,충정로(경기대입구),200590,211678,412268
2호선,한양대,143054,158419,301473
2호선,합정,586773,618876,1205649
2호선,홍대입구,916082,969855,1885937
3호선,가락시장,182319,178291,360610
3호선,경복궁(정부서울청사),361660,360556,722216
3호선,경찰병원,150126,150091,300217
3호선,고속터미널,794676,786338,1581014
3호선,교대(법원.검찰청),284703,187423,472126
3호선,구파발,414979,387304,802283
3호선,금호,163521,151649,315170
3호선,남부터미널(예술의전당),571271,585980,1157251
3호선,녹번,271619,241808,513427
3호선,대청,187614,172260,359874
3호선,대치,206058,203589,409647
3호선,도곡,103722,104491,208213
3호선,독립문,142416,148799,291215
3호선,동대입구,139752,149759,289511
3호선,매봉,226487,217117,443604
3호선,무악재,76423,77291,153714
3호선,불광,329345,354799,684144
3호선,수서,325854,327584,653438
3호선,신사,584828,630300,1215128
3호선,안국,374956,392318,767274
3호선,압구정,598453,647093,1245546
3호선,약수,256302,252237,508539
3호선,양재(서초구청),758311,817712,1576023
3호선,연신내,769095,728737,1497832
3호선,오금,124789,111241,236030
3호선,옥수,182643,187082,369725
3호선,을지로3가,210996,222966,433962
3호선,일원,178736,174326,353062
3호선,잠원,117638,113526,231164
3호선,종로3가,195273,231214,426487
3호선,지축,67787,65409,133196
3호선,충무로,24,0,24
3호선,학여울,33945,34340,68285
3호선,홍제,352408,333154,685562
4호선,길음,400027,381008,781035
4호선,남태령,22723,19615,42338
4호선,노원,388584,442780,831364
4호선,당고개,250823,229313,480136
4호선,동대문,436743,441663,878406
4호선,동대문역사문화공원(DDP),300271,282174,582445
4호선,동작(현충원),52956,55304,108260
4호선,명동,339916,358594,698510
4호선,미아(서울사이버대학),307694,294813,602507
4호선,미아사거리,568535,554615,1123150
4호선,사당,496057,424261,920318
4호선,삼각지,91749,100388,192137
4호선,상계,388068,352266,740334
4호선,서울역,221817,307125,528942
4호선,성신여대입구(돈암),397362,381834,779196
4호선,수유(강북구청),690927,682867,1373794
