노선명,역명,승차총승객수,하차총승객수,승하차총승객수
5호선,장한평,336275,335190,671465
5호선,종로3가,197830,199573,397403
5호선,천호(풍납토성),308458,326506,634964
5호선,청구,76012,68095,144107
5호선,충정로(경기대입구),82247,84257,166504
5호선,행당,144586,128728,273314
5호선,화곡,537830,497538,1035368
6호선,고려대(종암),135574,130815,266389
6호선,공덕,336276,329390,665666
6호선,광흥창(서강),158683,154109,312792
6호선,구산,134943,98049,232992
6호선,녹사평(용산구청),86605,87703,174308
6호선,대흥(서강대앞),138586,145126,283712
6호선,독바위,50322,53252,103574
6호선,돌곶이,164047,154427,318474
6호선,동묘앞,140574,144313,284887
6호선,디지털미디어시티,251865,272377,524242
6호선,마포구청,253121,225988,479109
6호선,망원,247105,270459,517564
6호선,버티고개,40293,38209,78502
6호선,보문,134990,124816,259806
6호선,봉화산(서울의료원),172325,154960,327285
6호선,불광,78159,80904,159063
6호선,삼각지,101257,88438,189695
6호선,상수,144667,165552,310219
6호선,상월곡(한국과학기술연구원),111111,98081,209192
6호선,새절(신사),233262,217445,450707
6호선,석계,229378,234780,464158
6호선,신내,1,0,1
6호선,신당,145427,156542,301969
6호선,안암(고대병원앞),175655,176177,351832
6호선,약수,65965,66610,132575
6호선,역촌,67205,79576,146781
6호선,연신내,10,0,10
6호선,월곡(동덕여대),208384,204045,412429
6호선,월드컵경기장(성산),78624,82401,161025
6호선,응암,318559,316062,634621
6호선,이태원,189702,208165,397867
6호선,증산(명지대앞),187122,181774,368896
6호선,창신,63447,50448,113895
6호선,청구,71697,79574,151271
6호선,태릉입구,97595,108611,206206
6호선,한강진,119344,141459,260803
6호선,합정,236964,231950,468914
6호선,화랑대(서울여대입구),206939,156906,363845
6호선,효창공원앞,126941,114201,241142
7호선,가산디지털단지,858458,870560,1729018
7호선,강남구청,296539,333243,629782
7호선,건대입구,211729,223756,435485
7호선,고속터미널,245646,215614,461260
7호선,공릉(서울과학기술대),208962,211296,420258
7호선,광명사거리,432419,425723,858142
7호선,군자(능동),269291,213270,482561
7호선,굴포천,160139,170020,330159
7호선,까치울,134859,127815,262674
7호선,남구로,300419,318342,618761
7호선,남성,203263,188715,391978
7호선,내방,262384,268984,531368
7호선,노원,342450,365070,707520
7호선,논현,389465,425390,814855
7호선,대림(구로구청),120545,118757,239302
7호선,도봉산,166795,192852,359647
7호선,뚝섬유원지,155989,157528,313517
7호선,마들,215533,205819,421352
7호선,먹골,190595,185157,375752
7호선,면목,289714,281958,571672
7호선,반포,101881,100997,202878
7호선,보라매,172596,171460,344056
7호선,부천시청,216697,215140,431837
7호선,부천종합운동장,85885,74005,159890
7호선,부평구청,219202,177701,396903
7호선,사가정,290424,293155,583579
7호선,삼산체육관,83705,73697,157402
7호선,상도,184434,177588,362022
7호선,상동,224488,232718,457206
7호선,상봉(시외버스터미널),315833,297477,613310
7호선,수락산,228826,230298,459124
7호선,숭실대입구(살피재),206774,207753,414527
7호선,신대방삼거리,302690,289517,592207
7호선,신중동,260061,260036,520097
7호선,신풍,196176,187288,383464
7호선,어린이대공원(세종대),202858,199396,402254
7호선,온수(성공회대입구),194872,180379,375251
7호선,용마산,34872,32739,67611
7호선,용마산(용마폭포공원),77927,73175,151102
7호선,이수,284104,279402,563506
7호선,장승배기,182913,177551,360464
7호선,장암,45830,16097,61927
7호선,중계,253170,225038,478208
7호선,중곡,179703,167851,347554
7호선,중화,207203,200899,408102
7호선,천왕,180897,166693,347590
7호선,철산,393721,403693,797414
7호선,청담,368222,410791,779013
7호선,춘의,182855,180409,363264
7호선,태릉입구,142821,131369,274190
7호선,하계,311753,294059,605812
7호선,학동,461427,498256,959683
8호선,가락시장,143641,162264,305905
8호선,강동구청,188511,194780,383291
8호선,남한산성입구(성남법원.검찰청),238844,215019,453863
8호선,단대오거리,186577,180143,366720
8호선,모란,74311,54766,129077
8호선,몽촌토성(평화의문),93671,99451,193122
8호선,문정,400124,420962,821086
8호선,복정,183390,155687,339077
8호선,산성,93944,93430,187374
8호선,석촌,135518,157073,292591
8호선,송파,153003,145746,298749
8호선,수진,86794,78602,165396
8호선,신흥,80263,85917,166180
8호선,암사,338857,297695,636552
8호선,잠실(송파구청),238104,271816,509920
8호선,장지,299534,290762,590296
8호선,천호(풍납토성),301142,342250,643392
9호선,가양,365167,354820,719987
9호선,개화,46674,32300,78974
9호선,고속터미널,165402,210245,375647
9호선,공항시장,51691,58210,109901
9호선,구반포,43377,45637,89014
9호선,국회의사당,289715,291481,581196
9호선,김포공항,105359,127101,232460
9호선,노들,75205,64504,139709
9호선,노량진,463936,462147,926083
9호선,당산,320881,315838,636719
9호선,동작(현충원),33610,26638,60248
9호선,등촌,184733,185265,369998
9호선,마곡나루,57343,57735,115078
9호선,마곡나루(서울식물원),126653,126599,253252
9호선,사평,45683,45385,91068
9호선,샛강,94433,99207,193640
9호선,선유도,130118,126223,256341
9호선,신논현,552510,561160,1113670
9호선,신목동,65945,60009,125954
9호선,신반포,42275,43396,85671
9호선,신방화,118179,115305,233484
9호선,양천향교,160641,167175,327816
9호선,여의도,421264,409746,831010
9호선,염창,304085,299948,604033
9호선,증미,127742,128694,256436
9호선,흑석(중앙대입구),127862,135659,263521
9호선2~3단계,둔촌오륜,14457,13554,28011
9호선2~3단계,봉은사,254111,255164,509275
9호선2~3단계,삼성중앙,113517,118612,232129
9호선2~3단계,삼전,111367,108661,220028
9호선2~3단계,석촌,126486,110371,236857
9호선2~3단계,석촌고분,95955,96102,192057
9호선2~3단계,선정릉,165347,177345,342692
9호선2~3단계,송파나루,74127,78958,153085
9호선2~3단계,언주,173503,175480,348983
9호선2~3단계,올림픽공원(한국체대),84298,82844,167142
9호선2~3단계,종합운동장,71882,69673,141555
9호선2~3단계,중앙보훈병원,164178,148129,312307
9호선2~3단계,한성백제,38810,34136,72946
경강선,경기광주,112151,106680,218831
경강선,곤지암,28757,28523,57280
경강선,부발,27313,25011,52324
경강선,삼동,38248,35004,73252
경강선,세종대왕릉,4195,4026,8221
경강선,신둔도예촌,17153,16148,33301
경강선,여주,25027,25171,50198
경강선,이매,15992,13587,29579
경강선,이천,36737,38951,75688
경강선,초월,43158,42965,86123
경강선,판교,71115,68384,139499
경부선,가산디지털단지,335182,380786,715968
경부선,관악,127838,116852,244690
경부선,광명,46103,40109,86212
경부선,구로,313588,315739,629327
경부선,군포,138709,140012,278721
경부선,금정,463220,475695,938915
경부선,금천구청,205222,201955,407177
경부선,남영,172923,182356,355279
경부선,노량진,156807,155769,312576
경부선,당정,108696,104574,213270
경부선,대방,230787,234583,465370
