노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,233880,234652,468532
1호선,동묘앞,163074,170382,333456
1호선,서울역,897558,852595,1750153
1호선,시청,458261,460089,918350
1호선,신설동,297410,282781,580191
1호선,제기동,363876,369772,733648
1호선,종각,765207,745692,1510899
1호선,종로3가,525837,485472,1011309
1호선,종로5가,449830,448896,898726
1호선,청량리(서울시립대입구),426946,425926,852872
2호선,강남,1775868,1784194,3560062
2호선,강변(동서울터미널),646322,642025,1288347
2호선,건대입구,694276,757168,1451444
2호선,교대(법원.검찰청),735160,830013,1565173
2호선,구로디지털단지,1313317,1317324,2630641
2호선,구의(광진구청),489406,477793,967199
2호선,낙성대(강감찬),573764,550070,1123834
2호선,당산,404220,471849,876069
2호선,대림(구로구청),529594,536215,1065809
2호선,도림천,27548,28819,56367
2호선,동대문역사문화공원(DDP),250103,280586,530689
2호선,뚝섬,428656,464249,892905
2호선,문래,452426,461540,913966
2호선,방배,385511,400316,785827
2호선,봉천,514006,468850,982856
2호선,사당,770500,857643,1628143
2호선,삼성(무역센터),1087943,1114810,2202753
2호선,상왕십리,293937,282646,576583
2호선,서울대입구(관악구청),993924,961252,1955176
2호선,서초,471405,464335,935740
2호선,선릉,1200276,1078297,2278573
2호선,성수,704007,770718,1474725
2호선,시청,508474,498714,1007188
2호선,신답,33046,37223,70269
2호선,신당,286610,293132,579742
2호선,신대방,553152,531893,1085045
2호선,신도림,1021025,998184,2019209
2호선,신림,1324416,1275575,2599991
2호선,신설동,68865,65970,134835
2호선,신정네거리,206499,212451,418950
2호선,신촌,652266,682232,1334498
2호선,아현,216657,205803,422460
2호선,양천구청,142589,150579,293168
2호선,역삼,1054801,1169128,2223929
2호선,영등포구청,491145,495724,986869
2호선,왕십리(성동구청),334156,271927,606083
2호선,용답,55242,54447,109689
2호선,용두(동대문구청),47890,50076,97966
2호선,을지로3가,445413,441899,887312
2호선,을지로4가,277422,273533,550955
2호선,을지로입구,818257,835301,1653558
2호선,이대,268192,279691,547883
2호선,잠실(송파구청),1338234,1340731,2678965
2호선,잠실나루,307289,297461,604750
2호선,잠실새내,419906,421062,840968
2호선,종합운동장,162812,182057,344869
2호선,충정로(경기대입구),219010,230170,449180
2호선,한양대,174767,190945,365712
2호선,합정,614399,654798,1269197
2호선,홍대입구,992680,1068017,2060697
3호선,가락시장,195082,192692,387774
3호선,경복궁(정부서울청사),406768,404074,810842
3호선,경찰병원,161837,162081,323918
3호선,고속터미널,787866,782236,1570102
3호선,교대(법원.검찰청),308783,205192,513975
3호선,구파발,434391,407766,842157
3호선,금호,172810,160268,333078
3호선,남부터미널(예술의전당),616910,633702,1250612
3호선,녹번,315266,286602,601868
3호선,대청,210639,191913,402552
3호선,대치,225703,227792,453495
3호선,도곡,114480,115436,229916
3호선,독립문,149804,157018,306822
3호선,동대입구,158052,169142,327194
3호선,매봉,262056,250637,512693
3호선,무악재,82642,83307,165949
3호선,불광,346263,367865,714128
3호선,수서,355277,359381,714658
3호선,신사,620469,666131,1286600
3호선,안국,425996,441815,867811
3호선,압구정,640973,691104,1332077
3호선,약수,274006,270615,544621
3호선,양재(서초구청),827547,894590,1722137
3호선,연신내,788733,737074,1525807
3호선,오금,133463,118609,252072
3호선,옥수,190528,196252,386780
3호선,을지로3가,219271,231064,450335
3호선,일원,207684,203081,410765
3호선,잠원,104439,102524,206963
3호선,종로3가,205432,241637,447069
3호선,지축,68733,66891,135624
3호선,충무로,18,0,18
3호선,학여울,45353,45938,91291
3호선,홍제,369166,350423,719589
4호선,길음,430501,417176,847677
4호선,남태령,24817,21514,46331
4호선,노원,394988,445094,840082
4호선,당고개,263519,236837,500356
4호선,동대문,421402,424741,846143
4호선,동대문역사문화공원(DDP),308154,290139,598293
4호선,동작(현충원),51519,54596,106115
4호선,명동,374541,387886,762427
4호선,미아(서울사이버대학),323194,311370,634564
4호선,미아사거리,585802,570055,1155857
4호선,사당,518593,439574,958167
4호선,삼각지,96274,108260,204534
4호선,상계,407566,374475,782041
4호선,서울역,236215,329772,565987
4호선,성신여대입구(돈암),414126,397165,811291
4호선,수유(강북구청),711437,707280,1418717
4호선,숙대입구(갈월),272099,268551,540650
4호선,신용산,333674,351500,685174
4호선,쌍문,627420,566136,1193556
4호선,이촌(국립중앙박물관),148171,163213,311384
4호선,창동,545608,577633,1123241
4호선,총신대입구(이수),396440,433905,830345
4호선,충무로,562318,583548,1145866
4호선,한성대입구(삼선교),290703,284870,575573
4호선,혜화,653026,658082,1311108
4호선,회현(남대문시장),480392,505452,985844
5호선,강동,411353,381958,793311
5호선,개롱,136726,141567,278293
5호선,개화산,108284,101764,210048
5호선,거여,170219,160118,330337
5호선,고덕,190020,184776,374796
5호선,공덕,304245,326240,630485
5호선,광나루(장신대),273607,247800,521407
5호선,광화문(세종문화회관),664456,699498,1363954
5호선,군자(능동),226406,247535,473941
5호선,굽은다리(강동구민회관앞),194837,183957,378794
5호선,길동,162374,169702,332076
5호선,김포공항,140305,137472,277777
5호선,까치산,608557,578561,1187118
5호선,답십리,337405,307321,644726
5호선,동대문역사문화공원(DDP),60042,69490,129532
5호선,둔촌동,171867,171902,343769
5호선,마곡,194647,188387,383034
5호선,마장,117721,111107,228828
5호선,마천,123539,121601,245140
5호선,마포,302098,313385,615483
