지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
가락시장,2769,2734,2769,2734,37.4927440321316,127.118485741487
경복궁,7916,8217,7916,8217,37.5758613027702,126.973062710191
경찰병원,2071,2017,2071,2017,37.4956031419934,127.124067847413
고속터미널,21392,21318,21392,21318,37.5049267445237,127.004949918697
교대,2419,1533,2419,1533,37.4928178646055,127.013838469407
구파발,8761,9006,8761,9006,37.6368417889316,126.918745426412
금호,2920,2819,2920,2819,37.5481125196986,127.015893753726
남부터미널,8813,8988,8813,8988,37.48514016604,127.016207055102
녹번,5319,4904,5319,4904,37.6007421809861,126.936019442532
대곡,721,534,721,534,37.6318206316005,126.810602730178
대청,3224,2903,3224,2903,37.4937218597788,127.079493645766
대치,4906,5067,4906,5067,37.4945627553067,127.063430193449
대화,4677,4190,4677,4190,37.675954868441,126.747305098166
도곡,1330,1263,1330,1263,37.4908647717187,127.05532337372
독립문,3120,3377,3120,3377,37.5744103589329,126.957750279047
동대입구,3319,3865,3319,3865,37.559030224347,127.005460196954
마두,2568,2642,2568,2642,37.6523303524635,126.778195968273
매봉,2829,2774,2829,2774,37.4869611285839,127.046614560925
무악재,1416,1550,1416,1550,37.5823841472467,126.950322097494
백석,4287,4281,4287,4281,37.6431608335662,126.788171623016
불광,7261,8298,7261,8298,37.6102072578868,126.92998576213
삼송,8752,8588,8752,8588,37.6550162726238,126.896562231497
수서,7370,7076,7370,7076,37.4873889933503,127.101859191018
신사,9269,9133,9269,9133,37.5171124958274,127.019494541135
안국,6901,7218,6901,7218,37.5767203705556,126.985823042976
압구정,7726,7982,7726,7982,37.5264308236177,127.028480919224
약수,4669,4528,4669,4528,37.5545595558163,127.010822526737
양재,8646,9105,8646,9105,37.4839347328908,127.034544193436
연신내,16671,15993,16671,15993,37.618962003178,126.921162124977
오금,1789,1782,1789,1782,37.5022659793733,127.127879247544
옥수,3543,3641,3543,3641,37.5409877747326,127.018965435917
원당,4609,4594,4609,4594,37.6534333656508,126.843104741837
원흥,3952,3997,3952,3997,37.6509206996283,126.873307347639
을지로3가,2345,2163,2345,2163,37.56626594615,126.990308356253
일원,3321,2803,3321,2803,37.4840735840284,127.084451750048
잠원,1488,1587,1488,1587,37.5127991148107,127.01122017966
정발산,3824,3861,3824,3861,37.6589801992463,126.773725939404
종로3가,3034,4181,3034,4181,37.5704266025836,126.99202930223
주엽,3259,3354,3259,3354,37.6704315940863,126.761046013417
지축,1580,1532,1580,1532,37.6496180734177,126.912167788573
학여울,461,473,461,473,37.4967171864138,127.071718971861
홍제,7002,6640,7002,6640,37.5887103667691,126.944242309924
화정,7575,7999,7575,7999,37.6345077843042,126.832630042005
가락시장,3140,3412,3140,3412,37.4927440321316,127.118485741487
경복궁,8101,8467,8101,8467,37.5758613027702,126.973062710191
경찰병원,2186,2420,2186,2420,37.4956031419934,127.124067847413
고속터미널,39814,30429,39814,30429,37.5049267445237,127.004949918697
교대,3241,2139,3241,2139,37.4928178646055,127.013838469407
구파발,9439,9582,9439,9582,37.6368417889316,126.918745426412
금호,3556,3472,3556,3472,37.5481125196986,127.015893753726
남부터미널,12278,11483,12278,11483,37.48514016604,127.016207055102
녹번,6065,5509,6065,5509,37.6007421809861,126.936019442532
대곡,795,635,795,635,37.6318206316005,126.810602730178
대청,3550,3577,3550,3577,37.4937218597788,127.079493645766
대치,5248,4598,5248,4598,37.4945627553067,127.063430193449
대화,5218,4771,5218,4771,37.675954868441,126.747305098166
도곡,1612,1769,1612,1769,37.4908647717187,127.05532337372
독립문,3143,3493,3143,3493,37.5744103589329,126.957750279047
동대입구,4375,4970,4375,4970,37.559030224347,127.005460196954
마두,2848,2806,2848,2806,37.6523303524635,126.778195968273
매봉,3436,3470,3436,3470,37.4869611285839,127.046614560925
무악재,1462,1663,1462,1663,37.5823841472467,126.950322097494
백석,4966,4906,4966,4906,37.6431608335662,126.788171623016
