사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202301,경부선,군포,42331,79794,69116,35818
202301,경부선,금정,196563,138890,163312,219510
202301,경부선,금천구청,92710,45168,52057,98314
202301,경부선,남영,33665,67159,78685,54303
202301,경부선,노량진,42949,29271,47121,80353
202301,경부선,당정,53370,23319,27771,46285
202301,경부선,대방,59524,77749,73929,71366
202301,경부선,독산,97534,156389,163308,99973
202301,경부선,두정,35072,17706,34011,47950
202301,경부선,명학,53895,81895,70215,46297
202301,경부선,병점,102679,51494,73382,116011
202301,경부선,서동탄,16168,3568,4947,11493
202301,경부선,서울역,29420,14564,55277,20970
202301,경부선,서정리,36724,39787,63763,51731
202301,경부선,석수,78970,29007,39188,72307
202301,경부선,성균관대,133488,31014,56162,135377
202301,경부선,성환,13829,20010,25914,20350
202301,경부선,세류,30529,9193,14553,25821
202301,경부선,세마,20238,14317,16010,21381
202301,경부선,송탄,28539,15759,24942,36285
202301,경부선,수원,152979,130083,248282,290004
202301,경부선,신길,62236,44546,54438,50665
202301,경부선,신도림,19755,21854,26315,27546
202301,경부선,안양,175012,53568,89433,194515
202301,경부선,영등포,103359,195160,356265,266336
202301,경부선,오산,53800,50365,62917,75897
202301,경부선,오산대,25188,12668,17729,27977
202301,경부선,용산,57341,247694,384659,215181
202301,경부선,의왕,61346,60840,57968,58951
202301,경부선,직산,4670,6925,7199,5122
202301,경부선,진위,5981,17748,19626,6553
202301,경부선,천안,21735,16885,33684,43146
202301,경부선,평택,54038,42540,79226,93027
202301,경부선,평택지제,21110,31863,36685,23736
202301,경부선,화서,87991,18793,26445,78420
202212,경부선,가산디지털단지,37798,215703,214974,75974
202212,경부선,관악,76680,20870,29815,68076
202212,경부선,광명,24242,15716,28279,26068
202212,경부선,구로,92382,118656,142749,113776
202212,경부선,군포,48773,85874,72410,39297
202212,경부선,금정,216355,149232,173894,238270
202212,경부선,금천구청,103571,50524,56311,105957
202212,경부선,남영,36382,76558,81850,60711
202212,경부선,노량진,47684,27499,54783,100509
202212,경부선,당정,59360,26980,32079,50872
202212,경부선,대방,66866,83889,79793,82284
202212,경부선,독산,105275,164910,173250,107325
202212,경부선,두정,41825,29334,44937,56413
202212,경부선,명학,59906,88667,75062,49795
202212,경부선,병점,120227,59242,85112,133250
202212,경부선,서동탄,17809,3678,5206,12512
202212,경부선,서울역,29765,15443,61787,22770
202212,경부선,서정리,42963,47461,72529,55415
202212,경부선,석수,87215,34314,45011,77593
202212,경부선,성균관대,148113,38420,65566,147430
202212,경부선,성환,16409,28460,33375,22740
202212,경부선,세류,33838,10156,15936,28520
202212,경부선,세마,24609,16070,18270,23695
202212,경부선,송탄,33018,19434,28393,39575
202212,경부선,수원,170314,151558,274008,322642
202212,경부선,신길,68668,49160,57983,54516
202212,경부선,신도림,23660,24166,29544,31478
202212,경부선,안양,194047,69927,111208,212911
202212,경부선,영등포,113609,207578,395357,313110
202212,경부선,오산,63203,56409,67432,83800
202212,경부선,오산대,29087,15917,20265,30884
202212,경부선,용산,58273,266916,402211,238666
202212,경부선,의왕,69592,67709,62752,64226
202212,경부선,직산,5269,8026,8131,5477
202212,경부선,진위,7227,20421,21357,7033
202212,경부선,천안,26219,21294,41529,48718
202212,경부선,평택,66087,50967,88135,104815
202212,경부선,평택지제,24152,36383,40883,26336
202212,경부선,화서,98300,22103,29731,85105
202211,경부선,가산디지털단지,40714,228473,235047,79380
202211,경부선,관악,83491,22880,31433,72527
202211,경부선,광명,24755,16256,27493,26104
202211,경부선,구로,98575,125040,144079,120886
202211,경부선,군포,49877,86428,72244,40902
202211,경부선,금정,233352,157224,177665,251097
202211,경부선,금천구청,112795,52524,56185,113590
202211,경부선,남영,37932,79845,87127,59620
202211,경부선,노량진,52021,31479,52579,92651
202211,경부선,당정,65735,30380,35385,55228
202211,경부선,대방,74316,87930,83253,86635
202211,경부선,독산,114100,169867,178215,112946
202211,경부선,두정,44022,36453,49590,59373
202211,경부선,명학,64146,95680,85030,52706
202211,경부선,병점,135042,69600,93146,143377
202211,경부선,서동탄,19653,4209,5386,13454
202211,경부선,서울역,32147,15923,56999,21737
202211,경부선,서정리,47358,50146,72592,57098
202211,경부선,석수,95356,36757,45337,83514
202211,경부선,성균관대,159734,45210,70751,156927
202211,경부선,성환,17831,37101,46257,24290
202211,경부선,세류,36203,10784,16562,29504
202211,경부선,세마,26979,17076,18490,24526
202211,경부선,송탄,36497,20292,27914,40426
202211,경부선,수원,189267,171627,271041,328159
202211,경부선,신길,71506,56583,62900,58272
202211,경부선,신도림,26761,26469,31457,36293
202211,경부선,안양,210142,84833,126594,227232
202211,경부선,영등포,122505,216097,364286,289073
202211,경부선,오산,70958,58206,70321,87593
202211,경부선,오산대,33249,18074,22809,32689
202211,경부선,용산,62640,276748,389951,218726
202211,경부선,의왕,74742,69498,65301,67413
202211,경부선,직산,5775,8221,8290,5677
202211,경부선,진위,8184,21773,22611,7419
202211,경부선,천안,29561,26244,50516,54050
202211,경부선,평택,75817,56566,90291,113545
202211,경부선,평택지제,25898,36707,38857,26993
202211,경부선,화서,108924,23800,29618,94282
202210,경부선,가산디지털단지,39430,207224,214045,77446
202210,경부선,관악,77932,22354,31861,68105
202210,경부선,광명,25098,16121,28304,25906
202210,경부선,구로,95654,113052,137072,115947
202210,경부선,군포,46807,78204,66282,40386
202210,경부선,금정,219366,146206,168936,240209
202210,경부선,금천구청,107335,50142,56064,111072
202210,경부선,남영,36414,77098,84704,58640
202210,경부선,노량진,50116,32875,56645,96181
202210,경부선,당정,61874,27463,33600,53582
202210,경부선,대방,71102,82731,78643,84718
202210,경부선,독산,108348,156113,164536,107638
202210,경부선,두정,43192,35080,48516,58721
202210,경부선,명학,60296,87703,77435,51036
202210,경부선,병점,129241,65716,90195,139621
202210,경부선,서동탄,18618,3898,5494,13380
202210,경부선,서울역,33678,16563,61796,21889
202210,경부선,서정리,46508,46210,68569,58332
202210,경부선,석수,90864,35297,45214,80896
202210,경부선,성균관대,151184,44638,69244,150297
202210,경부선,성환,17979,36494,43006,25708
202210,경부선,세류,33817,11354,17578,28869
202210,경부선,세마,26360,15862,18266,24647
202210,경부선,송탄,35663,19341,28453,41604
202210,경부선,수원,182369,171347,288976,324505
202210,경부선,신길,67518,52802,59687,57807
