,역명,도로명주소
167,강일,서울특별시 강동구 고덕로 지하456(강일동)
168,미사,경기도 하남시 미사강변동로 지하90(망월동)
169,하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동)
170,하남시청,경기도 하남시 하남대로 지하820(덕풍동)
171,하남검단산,경기도 하남시 대청로 지하100(창우동)
172,응암,서울특별시 은평구 증산로 지하477(신사동)
173,역촌,서울특별시 은평구 서오릉로 지하63(녹번동)
174,독바위,서울특별시 은평구 불광로 지하129-1(불광동)
175,구산,서울특별시 은평구 연서로 지하137-1(구산동)
176,새절,서울특별시 은평구 증산로 지하400(신사동)
177,증산,서울특별시 은평구 증산로 지하306(증산동)
178,디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동)
179,월드컵경기장,서울특별시 마포구 월드컵로 지하240(성산동)
180,마포구청,서울특별시 마포구 월드컵로 지하190(성산동)
181,망원,서울특별시 마포구 월드컵로 지하77(망원동)
183,상수,서울특별시 마포구 독막로 지하85(상수동)
184,광흥창,서울특별시 마포구 독막로 지하165(창전동)
185,대흥,서울특별시 마포구 대흥로 지하85(대흥동)
187,효창공원앞,서울특별시 용산구 백범로 지하287(효창동)
189,녹사평,서울특별시 용산구 녹사평대로 지하195(용산동4가)
190,이태원,서울특별시 용산구 이태원로 지하177(이태원동)
191,한강진,서울특별시 용산구 이태원로 지하287(한남동)
192,버티고개,서울특별시 중구 다산로 지하38(신당동)
196,창신,서울특별시 종로구 지봉로 지하112(창신동)
197,보문,서울특별시 성북구 보문로 지하116(보문동1가)
198,안암,서울특별시 성북구 고려대로 지하89(안암동5가)
199,고려대,서울특별시 성북구 종암로 지하1(종암동)
200,월곡,서울특별시 성북구 월곡로 지하107(하월곡동)
201,상월곡,서울특별시 성북구 화랑로 지하157(상월곡동)
202,돌곶이,서울특별시 성북구 화랑로 지하243(석관동)
203,석계,서울특별시 노원구 화랑로 지하 347-1(월계동) 
204,태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동)
205,화랑대,서울특별시 노원구 화랑로 지하510(공릉동)
206,봉화산,서울특별시 중랑구 신내로 지하232(신내동)
207,신내,서울특별시 중랑구 용마산로136길 33 신내차량기지
208,장암,경기도 의정부시 동일로 121(장암동)
209,도봉산,서울특별시 도봉구 도봉로 964-40(도봉동)
210,수락산,서울특별시 노원구 동일로 지하1662(상계동)
211,마들,서울특별시 노원구 동일로 지하1530-1(상계동)
213,중계,서울특별시 노원구 동일로 지하1308-1(중계동)
214,하계,서울특별시 노원구 동일로 지하1196(하계동)
215,공릉,서울특별시 노원구 동일로 지하1074(공릉동)
216,먹골,서울특별시 중랑구 동일로 지하901(묵동)
217,중화,서울특별시 중랑구 동일로 지하797(중화동)
218,상봉,서울특별시 중랑구 망우로 297(상봉동)
219,면목,서울특별시 중랑구 면목로 지하407(면목동) 
220,사가정,서울특별시 중랑구 사가정로 지하393(면목동)
221,용마산,서울특별시 중랑구 용마산로 지하227(면목동)
222,중곡,서울특별시 광진구 능동로 지하417(중곡동)
223,어린이대공원,서울특별시 광진구 능동로 지하210(화양동)
225,뚝섬유원지,서울특별시 광진구 능동로 10(자양동)
226,청담,서울특별시 강남구 학동로 지하508(청담동)
227,강남구청,서울특별시 강남구 학동로 지하346(삼성동)
228,학동,서울특별시 강남구 학동로 지하180(논현동)
229,논현,서울특별시 강남구 학동로 지하102(논현동)
230,반포,서울특별시 서초구 신반포로 지하241(잠원동)
231,내방,서울특별시 서초구 서초대로 지하103(방배동)
232,이수,서울특별시 동작구 사당로 지하310(사당동)
233,남성,서울특별시 동작구 사당로 지하218(사당동)
234,숭실대입구,서울특별시 동작구 상도로 지하378(상도동)
235,상도,서울특별시 동작구 상도로 지하272(상도1동)
236,장승배기,서울특별시 동작구 상도로 지하188(상도동) 
237,신대방삼거리,서울특별시 동작구 상도로 지하76(대방동)
238,보라매,서울특별시 동작구 상도로 지하2(대방동)
239,신풍,서울특별시 영등포구 신풍로 지하27(신길동)
241,남구로,서울특별시 구로구 도림로 지하7(구로동) 
242,가산디지털단지,서울특별시 금천구 벚꽃로 309(가산동)
243,철산,경기도 광명시 철산로 지하13(철산동)
244,광명사거리,경기도 광명시 오리로 지하980(광명동)
245,천왕,서울특별시 구로구 오리로 지하1154(천왕동)
246,온수,서울특별시 구로구 경인로3길 지하64(온수동)
247,암사,서울특별시 강동구 올림픽로 지하776(암사동)
248,강동구청,서울특별시 강동구 올림픽로 지하550(성내동)
249,몽촌토성,서울특별시 송파구 올림픽로 지하383(신천동)
251,석촌,서울특별시 송파구 송파대로 지하439(석촌동)
252,송파,서울특별시 송파구 송파대로 지하354(가락동)
253,문정,서울특별시 송파구 송파대로 지하179(문정동)
254,장지,서울특별시 송파구 송파대로 지하82(장지동)
255,복정,서울특별시 송파구 송파대로 지하6(장지동)
256,남위례,경기도 성남시 수정구 공원로 601(복정동)
257,산성,경기도 성남시 수정구 수정로 지하365(신흥동)
258,남한산성입구,경기도 성남시 수정구 산성대로 지하445(단대동)
259,단대오거리,경기도 성남시 수정구 산성대로 지하365(신흥동)
260,신흥,경기도 성남시 수정구 산성대로 지하280(신흥동)
261,수진,경기도 성남시 수정구 산성대로 지하200(수진동)
262,모란,경기도 성남시 수정구 산성대로 지하100(수진동)
263,언주,서울특별시 강남구 봉은사로 지하201(논현동)
264,선정릉,서울특별시 강남구 선릉로 지하580(삼성동)
265,삼성중앙,서울특별시 강남구 봉은사로 지하501(삼성동)
266,봉은사,서울특별시 강남구 봉은사로 지하601(삼성동)
268,삼전,서울특별시 송파구 백제고분로 지하189(잠실동)
269,석촌고분,서울특별시 송파구 백제고분로 지하274(삼전동)
270,송파나루,서울특별시 송파구 백제고분로 지하446(방이동)
271,한성백제,서울특별시 송파구 위례성대로 지하29(방이동)
272,둔촌오륜,서울특별시 강동구 강동대로 지하303(둔촌동)
273,중앙보훈병원,서울특별시 강동구 동남로 지하625(둔촌동)
274,가능,경기도 의정부시 평화로 633
276,간석,인천광역시 남동구 석정로 522-14
277,개봉,서울특별시 구로구 경인로40길 47
278,관악,경기도 안양시 만안구 경수대로1273번길 46
279,광명,경기도 광명시 광명역로 21
280,광운대,노원구 석계로 98-2
281,구로,서울특별시 구로구 구로중앙로 174
282,구일,서울시 구로구 구일로 133
283,군포,경기도 군포시 군포역1길 27  
284,금정,경기도 군포시 군포로 750(금정동)
285,금천구청,서울특별시 금천구 시흥대로63길 91  
286,남영,서울특별시 용산구 한강대로77길 25  
287,노량진,서울특별시 동작구 노량진로 151  
288,녹양,경기도 의정부시 평화로 757
289,녹천,서울특별시 도봉구 덕릉로 376
290,당정,경기도 군포시 당정역로 91
291,대방,서울특별시 영등포구 여의대방로 300
292,덕계,경기도 양주시 덕계로 126
293,덕정,경기도 양주시 화합로 1356
294,도봉,서울특별시 도봉구 도봉로 170길 2
296,도원,인천광역시 동구 참외전로 245번지
297,도화,인천광역시 미추홀구 숙골로 24번길 9
298,독산,서울특별시 금천구 벚꽃로115
299,동두천,경기도 동두천시 평화로 2687(동두천역)
300,동두천중앙,경기도 동두천시 동두천로 228
301,동암,인천부평구 동암광장로 10
302,동인천,인천광역시 중구 참외전로 121 
303,두정,충청남도 천안시 서북구 두정로 289  
304,망월사,경기도 의정부시 평화로 221
305,명학,경기도 안양시 만안구 만안로 20
306,방학,서울시 도봉구 방학동 728
