사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,경부선,가산디지털단지,6932,9446,16378,주말
20200104,경부선,금천구청,9738,9448,19186,주말
20200104,경부선,석수,8813,7951,16764,주말
20200104,경부선,관악,7026,6600,13626,주말
20200104,경부선,안양,22657,23195,45852,주말
20200104,경부선,명학,6430,6108,12538,주말
20200104,경부선,금정,21452,22032,43484,주말
20200104,경부선,군포,5018,4512,9530,주말
20200104,경부선,의왕,7036,6744,13780,주말
20200104,경부선,성균관대,12514,12254,24768,주말
20200104,경부선,화서,6389,6282,12671,주말
20200104,경부선,수원,46080,49620,95700,주말
20200104,경부선,독산,10167,9823,19990,주말
20200104,경부선,세류,3488,3343,6831,주말
20200104,경부선,병점,14087,13452,27539,주말
20200104,경부선,세마,2730,2264,4994,주말
20200104,경부선,오산대,2729,2386,5115,주말
20200104,경부선,오산,10297,9705,20002,주말
20200104,경부선,진위,1203,986,2189,주말
20200104,경부선,송탄,5044,4638,9682,주말
20200104,경부선,서정리,6194,5180,11374,주말
20200104,경부선,지제,2605,2207,4812,주말
20200104,경부선,평택,14851,14173,29024,주말
20200104,경부선,성환,3545,3220,6765,주말
20200104,경부선,직산,794,720,1514,주말
20200104,경부선,두정,5456,5531,10987,주말
20200104,경부선,천안,7489,7160,14649,주말
20200104,경부선,당정,5083,4643,9726,주말
20200104,경부선,서동탄,1466,1459,2925,주말
20200104,경부선,광명,2865,2192,5057,주말
20200104,경인선,개봉,20616,20033,40649,주말
20200104,경인선,오류동,10784,9798,20582,주말
20200104,경인선,역곡,24488,23769,48257,주말
20200104,경인선,부천,36913,38295,75208,주말
20200104,경인선,송내,23895,23140,47035,주말
20200104,경인선,부평,36817,41570,78387,주말
20200104,경인선,백운,6916,6749,13665,주말
20200104,경인선,동암,15549,15833,31382,주말
20200104,경인선,주안,19949,17805,37754,주말
20200104,경인선,제물포,8539,8170,16709,주말
20200104,경인선,동인천,15200,14746,29946,주말
20200104,경인선,인천,4682,4158,8840,주말
20200104,경인선,구일,14135,14656,28791,주말
