사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,lat,lng
202101,1호선,가능,107119,105533,212652,37.7483685951812,127.044220735748
202101,1호선,가산디지털단지,326367,379970,706337,37.4815957375443,126.882559483336
202101,1호선,간석,99325,95507,194832,37.4646879052409,126.693451172704
202101,1호선,개봉,375003,395170,770173,37.4945222528654,126.859102583368
202101,1호선,관악,126040,118817,244857,37.4188017578979,126.909121118476
202101,1호선,광명,53292,46844,100136,37.4163635638303,126.884877197434
202101,1호선,광운대,136165,130829,266994,37.6230335564713,127.06176348127
202101,1호선,구로,334271,339299,673570,37.5024345090279,126.881491595821
202101,1호선,구일,105623,110857,216480,37.4963911827294,126.869920428658
202101,1호선,군포,144171,144729,288900,37.354076121748,126.948484962089
202101,1호선,금정,464489,480412,944901,37.3722878708479,126.943387264162
202101,1호선,금천구청,206542,208170,414712,37.455609978438,126.894514076077
202101,1호선,남영,161848,169539,331387,37.5405646005342,126.971332437837
202101,1호선,노량진,134269,142715,276984,37.5135735646312,126.940826454376
202101,1호선,녹양,76935,73790,150725,37.7593972381027,127.042273911226
202101,1호선,녹천,82057,70231,152288,37.6456959058103,127.050919992127
202101,1호선,당정,107801,103364,211165,37.3444543328447,126.948347418727
202101,1호선,대방,224913,234111,459024,37.5128688879851,126.925248506022
202101,1호선,덕계,45279,41200,86479,37.8187729615258,127.056653419502
202101,1호선,덕정,87718,86839,174557,37.844283985167,127.061969695022
202101,1호선,도봉,104432,101700,206132,37.6803629061562,127.045764016316
202101,1호선,도봉산,126800,74099,200899,37.6891205614059,127.046528790935
202101,1호선,도원,46108,47599,93707,37.468791983109,126.642404388038
202101,1호선,도화,70899,65804,136703,37.4661106428252,126.668375888234
202101,1호선,독산,313840,333548,647388,37.4659873169402,126.889514168718
202101,1호선,동대문,185270,174894,360164,37.5717775660734,127.011167102297
202101,1호선,동두천,31029,35550,66579,37.9278370541411,127.054940223638
202101,1호선,동두천중앙,50115,48924,99039,37.9018057802045,127.056238895955
202101,1호선,동묘앞,127823,133762,261585,37.5733722075697,127.01675118037
202101,1호선,동암,265685,269579,535264,37.4710056673671,126.702935214739
202101,1호선,동인천,232364,220721,453085,37.4759574845683,126.631750522383
202101,1호선,두정,81137,81134,162271,36.8329346310528,127.149020699344
202101,1호선,망월사,117374,122716,240090,37.725963479768,127.046509519875
202101,1호선,명학,166448,166019,332467,37.3852171904558,126.935265701361
202101,1호선,방학,161196,159635,320831,37.6663490420969,127.044424667701
202101,1호선,배방,15821,14871,30692,36.7775631745193,127.052904723378
202101,1호선,백운,122300,121833,244133,37.4832252226726,126.70727338322
202101,1호선,병점,223854,221694,445548,37.2068017946815,127.033243427141
202101,1호선,보산,23379,21852,45231,37.9143185033452,127.057237110508
202101,1호선,봉명,20831,20041,40872,36.8012573235829,127.135835679685
202101,1호선,부개,146486,140148,286634,37.4883181353962,126.740251327956
202101,1호선,부천,565559,569615,1135174,37.4840369248427,126.782649695027
202101,1호선,부평,505461,533648,1039109,37.4904472744166,126.723486369222
202101,1호선,서동탄,26737,22534,49271,37.1959264123992,127.052133990784
202101,1호선,서빙고,32412,30097,62509,37.5199555398566,126.990048630943
202101,1호선,서울,774530,673026,1447556,37.549118478341,126.970484281315
202101,1호선,서정리,97547,91996,189543,37.0570033704623,127.053006355073
202101,1호선,석계,136711,156550,293261,37.6150480846952,127.066118430844
202101,1호선,석수,179143,159541,338684,37.4343424740399,126.902529209911
202101,1호선,성균관대,240854,241934,482788,37.3001863040678,126.972261050259
202101,1호선,성환,50876,50613,101489,36.9167500567322,127.126732155397
202101,1호선,세류,50894,48020,98914,37.2442506519983,127.014111849323
202101,1호선,세마,43378,40259,83637,37.1869917898194,127.043062518202
202101,1호선,소사,161616,153496,315112,37.4824529147477,126.796018552602
202101,1호선,소요산,37756,32116,69872,37.947953996357,127.061213156402
202101,1호선,송내,481602,482116,963718,37.4876747409104,126.752771844443
202101,1호선,송탄,66194,63344,129538,37.0752833781957,127.054299835138
202101,1호선,수원,533303,567660,1100963,37.2656768667795,127.000096053009
202101,1호선,시청,367905,360739,728644,37.5654385176408,126.976983237511
202101,1호선,신길,164047,137528,301575,37.5176677017212,126.914336937521
202101,1호선,신도림,68097,67406,135503,37.5087701449787,126.891080501385
202101,1호선,신설동,242779,238892,481671,37.5762451837487,127.023278761358
202101,1호선,신이문,150928,141926,292854,37.604278644666,127.069577322142
202101,1호선,신창,15260,14779,30039,36.7694848050308,126.949921514343
202101,1호선,쌍용,30208,28246,58454,36.793655090373,127.121594290099
202101,1호선,아산,43723,40271,83994,36.7920474174232,127.104115243093
202101,1호선,안양,360850,365273,726123,37.4014349994721,126.92300270344
202101,1호선,양주,122186,116821,239007,37.7736548042753,127.044790945301
202101,1호선,역곡,471621,474147,945768,37.4852888314378,126.811871466794
202101,1호선,영등포,622656,640597,1263253,37.5156680341198,126.907665995469
202101,1호선,오류동,205382,198363,403745,37.494359185399,126.844600701673
202101,1호선,오산,156170,155998,312168,37.1458951784684,127.066844907861
202101,1호선,오산대,51269,46439,97708,37.1693006160923,127.063064763281
202101,1호선,옥수,788,562,1350,37.5409877747326,127.018965435917
202101,1호선,온수,110093,109561,219654,37.4921502838112,126.823380714316
202101,1호선,온양온천,56852,56773,113625,36.7804682813951,127.003451110541
202101,1호선,왕십리,218425,250136,468561,37.5612217415191,127.036655378283
202101,1호선,외대앞,119661,120935,240596,37.5954136758127,127.063058800869
202101,1호선,용산,511793,517694,1029487,37.5297718014452,126.964741503485
202101,1호선,월계,104066,100239,204305,37.6321089404669,127.058729394991
202101,1호선,응봉,30931,26861,57792,37.5504482266748,127.034927944532
202101,1호선,의왕,154715,155240,309955,37.3211117738404,126.948383028902
202101,1호선,의정부,300817,305728,606545,37.7379901517646,127.045879450143
202101,1호선,이촌,64556,50486,115042,37.522520254623,126.973683151228
202101,1호선,인천,51086,37123,88209,37.4765938446837,126.617089760956
202101,1호선,제기동,305145,312697,617842,37.5781967284885,127.034690599752
202101,1호선,제물포,172074,165179,337253,37.466803102521,126.656869633392
202101,1호선,종각,591385,561228,1152613,37.5702140381269,126.983239678933
202101,1호선,종로3가,391446,355298,746744,37.5704266025836,126.99202930223
202101,1호선,종로5가,382717,374431,757148,37.5709075371016,127.001916647342
202101,1호선,주안,317488,291839,609327,37.464767076602,126.679517004054
202101,1호선,중동,158172,151274,309446,37.4866184306426,126.764292213307
202101,1호선,지제,47226,44286,91512,37.0187847572567,127.070485287852
202101,1호선,지행,100988,100122,201110,37.8918774567748,127.055664161171
202101,1호선,직산,11976,12059,24035,36.8713897700414,127.143691456107
202101,1호선,진위,27709,23828,51537,37.1099375555493,127.062366903315
202101,1호선,창동,6,0,6,37.6532174818989,127.047714954434
202101,1호선,천안,74151,76577,150728,36.8123208138282,127.146822493854
202101,1호선,청량리,586064,603369,1189433,37.5802331563072,127.045085886324
202101,1호선,평택,180581,176163,356744,36.9918974768998,127.083288658126
202101,1호선,한남,74320,69526,143846,37.5291881521046,127.008249820572
202101,1호선,화서,127720,125252,252972,37.2848936747156,126.989199634131
202101,1호선,회룡,210209,211553,421762,37.7244219058017,127.047218627472
202102,1호선,가능,109509,106341,215850,37.7483685951812,127.044220735748
202102,1호선,가산디지털단지,315368,367937,683305,37.4815957375443,126.882559483336
202102,1호선,간석,100712,96628,197340,37.4646879052409,126.693451172704
202102,1호선,개봉,376406,391532,767938,37.4945222528654,126.859102583368
202102,1호선,관악,125344,117201,242545,37.4188017578979,126.909121118476
202102,1호선,광명,54222,47675,101897,37.4163635638303,126.884877197434
202102,1호선,광운대,137234,132342,269576,37.6230335564713,127.06176348127
202102,1호선,구로,331266,337793,669059,37.5024345090279,126.881491595821
202102,1호선,구일,107069,111199,218268,37.4963911827294,126.869920428658
202102,1호선,군포,136390,136474,272864,37.354076121748,126.948484962089
202102,1호선,금정,455301,464821,920122,37.3722878708479,126.943387264162
202102,1호선,금천구청,205816,205714,411530,37.455609978438,126.894514076077
202102,1호선,남영,162987,170862,333849,37.5405646005342,126.971332437837
202102,1호선,노량진,145001,149567,294568,37.5135735646312,126.940826454376
202102,1호선,녹양,78476,74667,153143,37.7593972381027,127.042273911226
202102,1호선,녹천,81874,69735,151609,37.6456959058103,127.050919992127
202102,1호선,당정,106049,101378,207427,37.3444543328447,126.948347418727
202102,1호선,대방,226950,233552,460502,37.5128688879851,126.925248506022
202102,1호선,덕계,46805,42420,89225,37.8187729615258,127.056653419502
202102,1호선,덕정,91812,89555,181367,37.844283985167,127.061969695022
202102,1호선,도봉,104824,101339,206163,37.6803629061562,127.045764016316
202102,1호선,도봉산,130502,79554,210056,37.6891205614059,127.046528790935
202102,1호선,도원,45721,47164,92885,37.468791983109,126.642404388038
202102,1호선,도화,71745,66254,137999,37.4661106428252,126.668375888234
202102,1호선,독산,300195,317804,617999,37.4659873169402,126.889514168718
202102,1호선,동대문,193403,182159,375562,37.5717775660734,127.011167102297
202102,1호선,동두천,32228,37384,69612,37.9278370541411,127.054940223638
202102,1호선,동두천중앙,52037,51091,103128,37.9018057802045,127.056238895955
202102,1호선,동묘앞,137115,143704,280819,37.5733722075697,127.01675118037
202102,1호선,동암,266767,270403,537170,37.4710056673671,126.702935214739
202102,1호선,동인천,236370,224887,461257,37.4759574845683,126.631750522383
202102,1호선,두정,80619,81120,161739,36.8329346310528,127.149020699344
202102,1호선,망월사,120758,124932,245690,37.725963479768,127.046509519875
202102,1호선,명학,157700,156509,314209,37.3852171904558,126.935265701361
202102,1호선,방학,164183,161568,325751,37.6663490420969,127.044424667701
202102,1호선,배방,16403,15583,31986,36.7775631745193,127.052904723378
202102,1호선,백운,122866,122455,245321,37.4832252226726,126.70727338322
202102,1호선,병점,230107,228459,458566,37.2068017946815,127.033243427141
202102,1호선,보산,25404,23695,49099,37.9143185033452,127.057237110508
202102,1호선,봉명,20286,19538,39824,36.8012573235829,127.135835679685
202102,1호선,부개,148028,140439,288467,37.4883181353962,126.740251327956
202102,1호선,부천,580658,584565,1165223,37.4840369248427,126.782649695027
202102,1호선,부평,538543,573482,1112025,37.4904472744166,126.723486369222
202102,1호선,서동탄,26628,22915,49543,37.1959264123992,127.052133990784
202102,1호선,서빙고,32476,30093,62569,37.5199555398566,126.990048630943
202102,1호선,서울,805849,710050,1515899,37.549118478341,126.970484281315
202102,1호선,서정리,100862,93821,194683,37.0570033704623,127.053006355073
202102,1호선,석계,140750,160485,301235,37.6150480846952,127.066118430844
202102,1호선,석수,173906,154653,328559,37.4343424740399,126.902529209911
202102,1호선,성균관대,243745,241721,485466,37.3001863040678,126.972261050259
202102,1호선,성환,52539,52560,105099,36.9167500567322,127.126732155397
202102,1호선,세류,50684,47540,98224,37.2442506519983,127.014111849323
