사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,lat,lng
202101,1호선,가능,31769,30354,62123,37.7483685951812,127.044220735748
202101,1호선,가산디지털단지,36125,49894,86019,37.4815957375443,126.882559483336
202101,1호선,간석,26005,24727,50732,37.4646879052409,126.693451172704
202101,1호선,개봉,98194,98465,196659,37.4945222528654,126.859102583368
202101,1호선,관악,35999,33853,69852,37.4188017578979,126.909121118476
202101,1호선,광명,14803,11627,26430,37.4163635638303,126.884877197434
202101,1호선,광운대,34912,34907,69819,37.6230335564713,127.06176348127
202101,1호선,구로,78692,79979,158671,37.5024345090279,126.881491595821
202101,1호선,구일,25443,24782,50225,37.4963911827294,126.869920428658
202101,1호선,군포,28022,26866,54888,37.354076121748,126.948484962089
202101,1호선,금정,108951,111752,220703,37.3722878708479,126.943387264162
202101,1호선,금천구청,49583,49447,99030,37.455609978438,126.894514076077
202101,1호선,남영,32781,35470,68251,37.5405646005342,126.971332437837
202101,1호선,노량진,48256,46787,95043,37.5135735646312,126.940826454376
202101,1호선,녹양,20833,20110,40943,37.7593972381027,127.042273911226
202101,1호선,녹천,21601,18786,40387,37.6456959058103,127.050919992127
202101,1호선,당정,23917,23508,47425,37.3444543328447,126.948347418727
202101,1호선,대방,45806,47306,93112,37.5128688879851,126.925248506022
202101,1호선,덕계,12227,11348,23575,37.8187729615258,127.056653419502
202101,1호선,덕정,24733,24452,49185,37.844283985167,127.061969695022
202101,1호선,도봉,28355,26970,55325,37.6803629061562,127.045764016316
202101,1호선,도봉산,60817,40638,101455,37.6891205614059,127.046528790935
202101,1호선,도원,12888,13148,26036,37.468791983109,126.642404388038
202101,1호선,도화,19042,17761,36803,37.4661106428252,126.668375888234
202101,1호선,독산,50639,51687,102326,37.4659873169402,126.889514168718
202101,1호선,동대문,68231,67172,135403,37.5717775660734,127.011167102297
202101,1호선,동두천,9068,10761,19829,37.9278370541411,127.054940223638
202101,1호선,동두천중앙,15678,15627,31305,37.9018057802045,127.056238895955
202101,1호선,동묘앞,84741,87190,171931,37.5733722075697,127.01675118037
202101,1호선,동암,79012,79231,158243,37.4710056673671,126.702935214739
202101,1호선,동인천,71005,68954,139959,37.4759574845683,126.631750522383
202101,1호선,두정,28675,30294,58969,36.8329346310528,127.149020699344
202101,1호선,망월사,33582,34740,68322,37.725963479768,127.046509519875
202101,1호선,명학,29866,28925,58791,37.3852171904558,126.935265701361
202101,1호선,방학,46308,45384,91692,37.6663490420969,127.044424667701
202101,1호선,배방,5305,5558,10863,36.7775631745193,127.052904723378
202101,1호선,백운,33023,32619,65642,37.4832252226726,126.70727338322
202101,1호선,병점,67750,71003,138753,37.2068017946815,127.033243427141
202101,1호선,보산,9430,9106,18536,37.9143185033452,127.057237110508
202101,1호선,봉명,4572,4457,9029,36.8012573235829,127.135835679685
202101,1호선,부개,38042,36385,74427,37.4883181353962,126.740251327956
202101,1호선,부천,182165,182986,365151,37.4840369248427,126.782649695027
202101,1호선,부평,179462,190021,369483,37.4904472744166,126.723486369222
202101,1호선,서동탄,5881,5723,11604,37.1959264123992,127.052133990784
202101,1호선,서빙고,7463,7168,14631,37.5199555398566,126.990048630943
202101,1호선,서울,192014,156893,348907,37.549118478341,126.970484281315
202101,1호선,서정리,34229,38168,72397,37.0570033704623,127.053006355073
202101,1호선,석계,40320,43203,83523,37.6150480846952,127.066118430844
202101,1호선,석수,41530,40337,81867,37.4343424740399,126.902529209911
202101,1호선,성균관대,58699,60345,119044,37.3001863040678,126.972261050259
202101,1호선,성환,17383,18208,35591,36.9167500567322,127.126732155397
202101,1호선,세류,14867,15238,30105,37.2442506519983,127.014111849323
202101,1호선,세마,12010,10912,22922,37.1869917898194,127.043062518202
202101,1호선,소사,46738,44168,90906,37.4824529147477,126.796018552602
202101,1호선,소요산,22134,19269,41403,37.947953996357,127.061213156402
202101,1호선,송내,107357,105879,213236,37.4876747409104,126.752771844443
202101,1호선,송탄,26628,26591,53219,37.0752833781957,127.054299835138
202101,1호선,수원,223972,230843,454815,37.2656768667795,127.000096053009
