사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202211,1호선,종각,20860,370062,263452,461243,453354,124324,3568,4532,258080,31214,545960,867051
202211,1호선,종로3가,18498,110693,289866,417590,250923,104429,3879,3239,152155,30298,464398,561820
202211,1호선,종로5가,17453,154474,269178,369549,235323,80402,1747,3734,94197,21772,382575,549529
202211,1호선,청량리,101930,76294,272671,282682,113030,120359,12406,4066,41075,63234,428082,426276
202210,1호선,동대문,43537,40341,158675,170789,69475,61261,11746,1932,44147,46911,258105,259973
202210,1호선,동묘앞,20992,35344,166624,201557,66354,33325,3309,1195,15772,23402,206697,261498
202210,1호선,서울역,125607,366859,556068,632349,484070,261124,9887,9693,254011,138753,945573,1147654
202210,1호선,시청,20896,264384,216501,366908,311998,73960,2476,5063,144206,25436,384079,661791
202210,1호선,신설동,59504,85716,157451,153851,109295,75091,9837,2235,40372,50535,267164,292337
202210,1호선,제기동,62749,66135,270481,306470,103167,73674,5807,2082,29054,42186,368091,416873
202210,1호선,종각,21278,339204,272751,472220,426403,120844,4087,4474,250343,31592,548459,847490
202210,1호선,종로3가,19558,106383,308351,441485,252494,105413,4553,3298,160688,33234,493150,584400
202210,1호선,종로5가,17415,147837,286475,391471,234372,86039,1931,3542,97201,23307,403022,566157
202210,1호선,청량리,97630,78100,284262,294611,118797,121622,12798,4336,43758,66879,438448,443926
202209,1호선,동대문,41589,39256,146110,151359,65420,58165,10887,1898,42048,43550,240634,236063
202209,1호선,동묘앞,19883,33804,144991,173517,61685,31370,2919,1028,15266,20336,183059,228685
202209,1호선,서울역,119622,348896,485510,549836,439071,233891,9156,8062,224765,123297,839053,1030091
202209,1호선,시청,18461,273707,169735,275842,282940,57031,2055,4701,130099,20430,320350,574680
202209,1호선,신설동,56463,86735,143099,140201,105612,68599,8761,2051,38122,45596,246445,274583
202209,1호선,제기동,62725,67648,252186,288420,101280,71750,5177,2040,27819,39071,347907,397179
202209,1호선,종각,19873,348708,242802,407436,403080,114029,3426,4077,232242,28536,498343,788757
202209,1호선,종로3가,17994,106198,275029,396064,231813,96915,3798,3184,149478,28795,446299,534241
202209,1호선,종로5가,16959,145663,257815,346954,214666,77262,1674,3512,84855,20105,361303,516234
202209,1호선,청량리,95386,74887,266418,281891,116839,115457,11174,4239,42352,61984,415330,423001
202208,1호선,동대문,39397,37666,138911,140975,60412,52356,10420,1858,37671,40819,226399,221318
202208,1호선,동묘앞,19431,29995,132108,153184,53294,31167,2944,1040,14999,19782,169482,204001
202208,1호선,서울역,115415,349484,481728,546170,443613,219997,9211,8293,216124,112648,822478,1016595
202208,1호선,시청,18235,271147,165224,270496,286898,55390,2044,4665,121804,20235,307307,566543
202208,1호선,신설동,53263,86196,137842,138297,104103,67010,8895,2282,37570,43296,237570,270071
202208,1호선,제기동,60944,68773,240519,275285,101410,71036,5358,2042,27736,37904,334557,384004
202208,1호선,종각,19137,365538,245285,416260,423292,110260,3410,4386,235213,28758,503045,814942
202208,1호선,종로3가,16088,107382,269481,391505,222190,86130,3485,3159,137690,26206,426744,528252
202208,1호선,종로5가,16577,149295,253348,331590,210629,73798,1670,3637,80983,19834,352578,504356
202208,1호선,청량리,94768,73240,260559,267607,112790,114398,11201,4468,39117,61155,405645,406470
202207,1호선,동대문,41711,42934,147613,151863,63928,56286,11890,1960,42480,44382,243694,241139
202207,1호선,동묘앞,20058,35342,142502,163490,56781,32681,3006,1149,17084,20478,182650,220459
202207,1호선,서울역,116578,356251,493603,549464,441127,229474,9620,8264,218793,122410,838594,1036389
202207,1호선,시청,18391,276468,165687,273470,286549,55446,2150,4739,125359,20123,311587,574800
202207,1호선,신설동,54584,92068,145474,146147,110493,68531,9161,2570,41370,46095,250589,286880
202207,1호선,제기동,62787,70767,239251,272039,104683,73100,5399,2232,29704,40491,337141,385529
202207,1호선,종각,19635,369130,248417,421628,415672,121067,3644,4437,255731,29874,527427,825069
202207,1호선,종로3가,17319,114243,280891,411569,231971,93416,3858,3252,150917,27730,452985,556794
202207,1호선,종로5가,17306,153949,263087,344983,215870,78819,1854,3764,89364,20914,371611,523610
202207,1호선,청량리,97706,76541,263663,270824,115450,118480,11695,4790,43342,65282,416406,417437
202206,1호선,동대문,41857,42837,145750,154311,63540,55191,12190,2087,42852,43363,242649,242598
202206,1호선,동묘앞,19247,37412,141537,166954,60260,30675,2997,1107,15772,20274,179553,225747
202206,1호선,서울역,116947,349047,481761,546839,436635,221849,9079,7718,217921,118036,825708,1021640
202206,1호선,시청,18262,265758,157591,259199,273090,52599,3404,4809,125492,18924,304749,548690
202206,1호선,신설동,53671,91278,143197,140877,110052,64082,8837,2672,38564,43236,244269,278063
202206,1호선,제기동,60952,68452,241592,277206,100969,69181,5329,2216,28247,39170,336120,387044
202206,1호선,종각,19108,353069,238037,405327,398654,113687,4098,3969,247392,27571,508635,789936
202206,1호선,종로3가,16905,108206,275220,404899,230265,95059,4072,3273,159307,27740,455504,544118
202206,1호선,종로5가,16556,153823,262261,356266,217244,76967,1764,3909,93711,19744,374292,533742
202206,1호선,청량리,96188,75720,266064,275291,113405,115114,11652,4607,43788,62897,417692,418515
202205,1호선,동대문,44517,45274,158175,169243,69173,59175,12781,2156,45985,46625,261458,263298
202205,1호선,동묘앞,19975,37473,159235,193177,69593,33800,3165,1014,16783,22004,199158,253668
202205,1호선,서울역,122850,360611,497716,557955,450314,236122,9699,7793,229593,128598,859858,1054957
202205,1호선,시청,18896,274577,167366,277227,279863,55075,2090,4925,132467,19980,320819,576709
202205,1호선,신설동,55725,98878,151554,151903,117999,69633,9122,2767,42152,48239,258553,301787
202205,1호선,제기동,63859,71017,256679,293464,106060,74233,5557,2184,29691,41682,355786,408347
202205,1호선,종각,19931,363491,252312,421251,410558,117602,4013,4269,256414,30293,532670,819304
202205,1호선,종로3가,17516,113366,291028,419714,244343,102495,4300,3260,167997,29887,480841,566227
202205,1호선,종로5가,16364,157896,271229,367483,226823,81363,2043,3894,99760,20927,389396,550200
202205,1호선,청량리,101593,80078,286047,293199,123519,125559,12696,4929,49201,68208,449537,446414
202204,1호선,동대문,41726,41000,140303,148415,65040,55030,11815,1918,41399,41762,235243,233095
202204,1호선,동묘앞,18612,34856,144148,176946,63818,30941,2770,839,14894,19946,180424,232587
202204,1호선,서울역,107450,312957,410853,469111,392037,201826,9051,6005,189502,101506,716856,889579
202204,1호선,시청,17480,251959,142448,241863,261966,45407,1959,4742,111155,16332,273042,514896
202204,1호선,신설동,50914,92906,141457,142276,111188,64948,8409,2471,38047,43568,238827,281221
202204,1호선,제기동,59178,64727,246461,281717,98566,68859,5037,1976,26277,37676,336953,386096
202204,1호선,종각,17618,324189,209708,356394,363851,100744,2693,4004,227838,24666,457857,709253
202204,1호선,종로3가,15300,103513,258732,377566,223209,90405,3170,2929,146181,25160,423383,509168
202204,1호선,종로5가,15475,149357,241917,334336,214469,72558,1669,3749,89490,18115,348551,505557
202204,1호선,청량리,92638,73447,263929,267925,113089,112019,11120,4640,39814,59243,407501,405255
202203,1호선,동대문,38133,37743,124413,127767,57489,49394,12173,1805,34808,38070,209527,205385
202203,1호선,동묘앞,16742,31609,121564,149866,52539,26855,2516,808,14079,17256,154901,199539
202203,1호선,서울역,95164,271560,340293,381221,333641,163375,8404,5596,148439,80163,592300,738540
202203,1호선,시청,16335,224704,125304,204965,228448,39950,1731,4430,96546,14056,239916,448155
202203,1호선,신설동,45861,86632,127902,131126,104769,58670,7664,2401,34149,37675,215576,257834
202203,1호선,제기동,52394,58994,218412,248815,89130,61299,4562,1810,22961,33944,298329,343563
202203,1호선,종각,16198,285885,190618,319329,321017,80563,2018,3765,185513,17297,394347,626276
202203,1호선,종로3가,13378,97390,231431,338781,199447,68822,2690,2666,112622,17753,360121,456590
202203,1호선,종로5가,13795,141076,217236,297956,197304,54077,1415,3487,71153,14658,303599,457177
202203,1호선,청량리,83131,65980,238407,247157,102240,101312,10224,4122,34067,50591,365829,367850
202202,1호선,동대문,30849,30548,110679,113058,50822,42823,10211,1463,28372,32677,180111,177746
202202,1호선,동묘앞,13761,21758,106873,133160,42553,21963,2156,670,11568,14515,134358,170103
202202,1호선,서울역,81872,238581,327555,354838,303533,145282,7012,4829,138764,68934,555203,667182
202202,1호선,시청,13650,194906,109571,183193,198385,30187,1449,4040,81330,10556,206000,392695
202202,1호선,신설동,39131,70515,113627,120045,91315,52549,6229,2003,28760,32487,187747,225050
202202,1호선,제기동,44083,48924,184099,206567,74791,53622,3807,1397,20286,29875,252275,286763
202202,1호선,종각,13880,248378,173581,295939,286192,67001,1737,3366,158591,13274,347789,560957
202202,1호선,종로3가,10686,83135,209632,313360,177337,58371,2165,2156,98285,13605,320768,412256
202202,1호선,종로5가,11387,120747,184360,258108,172651,46016,1188,2859,62773,12499,259708,394213
202202,1호선,청량리,71125,52865,204220,213874,86932,88345,8714,3283,29720,45871,313779,315893
202201,1호선,동대문,35504,33465,132681,138165,58580,49797,11105,1653,33773,37126,213063,210409
202201,1호선,동묘앞,15907,24561,129343,160582,49788,24743,2317,728,12717,16592,160284,202463
202201,1호선,서울역,92016,285383,386045,433813,361806,178291,7724,5601,170343,87649,656128,812446
202201,1호선,시청,15563,225161,122638,209502,234159,37010,1637,4157,100731,12540,240569,451360
202201,1호선,신설동,45283,79613,133066,139075,105386,59383,7089,2311,34129,37983,219567,258982
202201,1호선,제기동,52004,58344,254690,291422,89190,62181,4292,1730,23630,35702,334616,387198
202201,1호선,종각,15653,304862,205673,357573,349007,80874,2041,3688,203143,15180,426510,681303
202201,1호선,종로3가,12439,95225,251044,373612,204136,67573,2234,2390,121697,15774,387414,487001
202201,1호선,종로5가,13201,136367,217018,304904,198670,53484,1367,3121,75581,14068,307167,458460
202201,1호선,청량리,83312,61042,259372,273740,100635,103781,9543,3583,34699,54781,386926,393146
202112,1호선,동대문,41012,37385,135684,138640,60632,52155,13079,1928,34350,40538,224125,218491
202112,1호선,동묘앞,17572,29428,123853,147727,47186,24857,2539,756,12724,17262,156688,195173
202112,1호선,서울역,101330,309923,411672,473001,400467,200263,9229,6110,184018,93793,706249,882827
202112,1호선,시청,16965,243885,140672,235521,259112,50374,1939,4539,116622,15697,276198,499642
202112,1호선,신설동,48210,89886,136313,140504,113195,62631,7653,2744,34488,39373,226664,272507
202112,1호선,제기동,55253,61810,227590,251700,86591,63271,4751,1882,24285,35727,311879,351119
202112,1호선,종각,17209,318510,221144,373411,366880,101948,2390,3792,208633,19761,449376,715474
202112,1호선,종로3가,14681,102822,245783,366961,214194,77110,2927,2720,121336,18712,384727,491215
202112,1호선,종로5가,14372,151083,225680,310470,210379,57578,1437,3467,74206,14990,315695,480010
202112,1호선,청량리,90695,68262,249077,253100,100652,108623,10408,4241,35319,56374,385499,381977
202111,1호선,동대문,42568,39685,142050,147690,63036,54335,13233,2180,36868,42616,234719,232171
202111,1호선,동묘앞,18590,32263,134969,164292,54864,26924,2711,908,13626,18046,169896,215509
202111,1호선,서울역,110377,330982,439036,507263,429056,209885,9615,7069,200112,98928,759140,944242
