노선명,역명,승차총승객수,하차총승객수,승하차총승객수
5호선,충정로(경기대입구),89340,91027,180367
5호선,하남풍산,78467,79640,158107
5호선,행당,151041,134259,285300
5호선,화곡,535182,494076,1029258
6호선,고려대(종암),146287,140304,286591
6호선,공덕,341747,333141,674888
6호선,광흥창(서강),162256,156199,318455
6호선,구산,134526,103319,237845
6호선,녹사평(용산구청),84525,82752,167277
6호선,대흥(서강대앞),145076,148755,293831
6호선,독바위,53650,57286,110936
6호선,돌곶이,159779,147920,307699
6호선,동묘앞,147559,150312,297871
6호선,디지털미디어시티,255849,277337,533186
6호선,마포구청,262508,231933,494441
6호선,망원,258997,281932,540929
6호선,버티고개,42421,41011,83432
6호선,보문,136003,124501,260504
6호선,봉화산(서울의료원),171918,156183,328101
6호선,불광,85615,87824,173439
6호선,삼각지,99019,86057,185076
6호선,상수,134469,151229,285698
6호선,상월곡(한국과학기술연구원),117723,103850,221573
6호선,새절(신사),242891,227132,470023
6호선,석계,234248,238990,473238
6호선,신내,3,0,3
6호선,신당,147330,158248,305578
6호선,안암(고대병원앞),182347,180538,362885
6호선,약수,67047,66207,133254
6호선,역촌,72682,83091,155773
6호선,연신내,12,0,12
6호선,월곡(동덕여대),209501,204854,414355
6호선,월드컵경기장(성산),92733,96770,189503
6호선,응암,332223,325872,658095
6호선,이태원,155388,163688,319076
6호선,증산(명지대앞),190692,184798,375490
6호선,창신,67205,54435,121640
6호선,청구,73485,77719,151204
6호선,태릉입구,99379,108677,208056
6호선,한강진,125761,145590,271351
6호선,합정,227828,224984,452812
6호선,화랑대(서울여대입구),213183,165530,378713
6호선,효창공원앞,134446,120232,254678
7호선,가산디지털단지,886604,893063,1779667
7호선,강남구청,299027,331176,630203
7호선,건대입구,221394,228225,449619
7호선,고속터미널,262448,237952,500400
7호선,공릉(서울과학기술대),214694,212821,427515
7호선,광명사거리,448801,445408,894209
7호선,군자(능동),269911,214862,484773
7호선,굴포천,161483,169474,330957
7호선,까치울,143017,138022,281039
7호선,남구로,318759,338515,657274
7호선,남성,216020,198914,414934
7호선,내방,277755,279902,557657
7호선,노원,346853,370926,717779
7호선,논현,378024,409869,787893
7호선,대림(구로구청),158651,158636,317287
7호선,도봉산,173484,202186,375670
7호선,뚝섬유원지,149608,147675,297283
7호선,마들,228886,218293,447179
7호선,먹골,192620,186005,378625
7호선,면목,296594,289134,585728
7호선,반포,112039,108136,220175
7호선,보라매,186089,183316,369405
7호선,부천시청,228977,227395,456372
7호선,부천종합운동장,84484,72928,157412
7호선,부평구청,220497,180802,401299
7호선,사가정,309241,307861,617102
7호선,삼산체육관,86832,78879,165711
7호선,상도,198911,189796,388707
7호선,상동,228570,237875,466445
7호선,상봉(시외버스터미널),317345,299645,616990
7호선,수락산,237195,236343,473538
7호선,숭실대입구(살피재),224999,224950,449949
7호선,신대방삼거리,314966,301154,616120
7호선,신중동,264817,263209,528026
7호선,신풍,214078,202952,417030
7호선,어린이대공원(세종대),214758,206693,421451
7호선,온수(성공회대입구),208031,190318,398349
7호선,용마산(용마폭포공원),114799,110091,224890
7호선,이수,288054,284231,572285
7호선,장승배기,188381,182314,370695
7호선,장암,46692,18196,64888
7호선,중계,266527,240170,506697
7호선,중곡,187872,174986,362858
7호선,중화,210549,204873,415422
7호선,천왕,203184,190865,394049
7호선,철산,409381,416956,826337
7호선,청담,367842,406471,774313
7호선,춘의,189811,186975,376786
7호선,태릉입구,150550,140266,290816
7호선,하계,325384,306510,631894
7호선,학동,459167,488349,947516
8호선,가락시장,153820,172174,325994
8호선,강동구청,194674,203603,398277
8호선,남한산성입구(성남법원.검찰청),255473,232916,488389
8호선,단대오거리,188251,178672,366923
8호선,모란,83121,62654,145775
8호선,몽촌토성(평화의문),98017,102068,200085
8호선,문정,407668,427297,834965
8호선,복정,190236,164861,355097
8호선,산성,125901,125127,251028
8호선,석촌,138426,158121,296547
8호선,송파,155301,152058,307359
8호선,수진,93910,86033,179943
8호선,신흥,82816,88249,171065
8호선,암사,354049,312608,666657
8호선,잠실(송파구청),242811,275618,518429
8호선,장지,318475,309244,627719
8호선,천호(풍납토성),290435,325539,615974
9호선,가양,374888,364690,739578
9호선,개화,49765,36569,86334
9호선,고속터미널,194316,258232,452548
9호선,공항시장,52618,57741,110359
9호선,구반포,48680,49923,98603
9호선,국회의사당,295138,298839,593977
9호선,김포공항,122488,178165,300653
9호선,노들,83451,71214,154665
9호선,노량진,435483,423078,858561
9호선,당산,328931,323187,652118
9호선,동작(현충원),32370,25272,57642
9호선,등촌,199059,196532,395591
9호선,마곡나루(서울식물원),191565,192012,383577
