노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,206002,195230,401232
1호선,동묘앞,144558,149459,294017
1호선,서울역,717701,680103,1397804
1호선,시청,388966,385181,774147
1호선,신설동,263646,259628,523274
1호선,제기동,318117,325047,643164
1호선,종각,603136,580805,1183941
1호선,종로3가,415710,379336,795046
1호선,종로5가,404810,401065,805875
1호선,청량리(서울시립대입구),378352,378707,757059
2호선,강남,1401652,1360176,2761828
2호선,강변(동서울터미널),524349,528342,1052691
2호선,건대입구,562688,602585,1165273
2호선,교대(법원.검찰청),615871,682831,1298702
2호선,구로디지털단지,1137974,1148932,2286906
2호선,구의(광진구청),439773,435796,875569
2호선,낙성대(강감찬),502694,486868,989562
2호선,당산,340757,396431,737188
2호선,대림(구로구청),474025,484029,958054
2호선,도림천,26736,28093,54829
2호선,동대문역사문화공원(DDP),209859,231610,441469
2호선,뚝섬,370421,399646,770067
2호선,문래,391751,398348,790099
2호선,방배,302001,313496,615497
2호선,봉천,456453,426931,883384
2호선,사당,626904,680546,1307450
2호선,삼성(무역센터),896043,899553,1795596
2호선,상왕십리,255695,249619,505314
2호선,서울대입구(관악구청),855477,828380,1683857
2호선,서초,393171,388733,781904
2호선,선릉,1043450,929595,1973045
2호선,성수,629695,686110,1315805
2호선,시청,432197,418232,850429
2호선,신답,29401,34325,63726
2호선,신당,256918,264551,521469
2호선,신대방,498562,487082,985644
2호선,신도림,886499,857498,1743997
2호선,신림,1185008,1152851,2337859
2호선,신설동,59722,59001,118723
2호선,신정네거리,182135,190591,372726
2호선,신촌,542608,559732,1102340
2호선,아현,185017,180311,365328
2호선,양천구청,121487,131033,252520
2호선,역삼,923395,992903,1916298
2호선,영등포구청,442195,445882,888077
2호선,왕십리(성동구청),271485,217983,489468
2호선,용답,48565,47992,96557
2호선,용두(동대문구청),44854,47049,91903
2호선,을지로3가,377681,372505,750186
2호선,을지로4가,255249,249879,505128
2호선,을지로입구,717127,722353,1439480
2호선,이대,208422,214142,422564
2호선,잠실(송파구청),1111664,1111102,2222766
2호선,잠실나루,259547,251736,511283
2호선,잠실새내,356168,354636,710804
2호선,종합운동장,118515,127794,246309
2호선,충정로(경기대입구),188735,196958,385693
2호선,한양대,125347,129315,254662
2호선,합정,509230,528556,1037786
2호선,홍대입구,771324,799154,1570478
3호선,가락시장,167312,163764,331076
3호선,경복궁(정부서울청사),316243,306379,622622
3호선,경찰병원,142349,143050,285399
3호선,고속터미널,672868,681862,1354730
3호선,교대(법원.검찰청),252289,168971,421260
3호선,구파발,376318,354631,730949
3호선,금호,148135,142094,290229
3호선,남부터미널(예술의전당),521080,538845,1059925
3호선,녹번,279901,258719,538620
3호선,대청,179880,164948,344828
3호선,대치,181811,181717,363528
3호선,도곡,97324,97961,195285
3호선,독립문,128833,133321,262154
3호선,동대입구,129462,135457,264919
3호선,매봉,230791,218505,449296
3호선,무악재,72082,73774,145856
3호선,불광,303522,324502,628024
3호선,수서,284923,293018,577941
3호선,신사,537154,558649,1095803
3호선,안국,315605,320469,636074
3호선,압구정,576917,608534,1185451
3호선,약수,237685,231835,469520
3호선,양재(서초구청),709793,756332,1466125
3호선,연신내,700470,659643,1360113
3호선,오금,114951,103108,218059
3호선,옥수,158892,167140,326032
3호선,을지로3가,191489,197283,388772
3호선,일원,177332,173416,350748
3호선,잠원,83491,83013,166504
3호선,종로3가,179673,203111,382784
3호선,지축,59827,59281,119108
3호선,충무로,14,0,14
3호선,학여울,31087,31469,62556
3호선,홍제,320825,310610,631435
4호선,길음,368215,361885,730100
4호선,남태령,20231,17643,37874
4호선,노원,338514,376242,714756
4호선,당고개,233108,214705,447813
4호선,동대문,379481,389216,768697
4호선,동대문역사문화공원(DDP),272054,254209,526263
4호선,동작(현충원),42593,45272,87865
4호선,명동,313719,323711,637430
4호선,미아(서울사이버대학),287090,281114,568204
4호선,미아사거리,522629,515036,1037665
4호선,사당,420985,350450,771435
4호선,삼각지,83340,89930,173270
4호선,상계,360619,337279,697898
4호선,서울역,193848,253716,447564
4호선,성신여대입구(돈암),348860,336054,684914
4호선,수유(강북구청),647326,645033,1292359
4호선,숙대입구(갈월),227005,222955,449960
4호선,신용산,264000,276764,540764
4호선,쌍문,565742,523312,1089054
4호선,이촌(국립중앙박물관),119922,133361,253283
4호선,창동,477628,509752,987380
4호선,총신대입구(이수),342586,371751,714337
4호선,충무로,503367,517348,1020715
4호선,한성대입구(삼선교),243108,239506,482614
4호선,혜화,516495,508747,1025242
4호선,회현(남대문시장),422899,439414,862313
5호선,강동,365921,341754,707675
5호선,개롱,114213,120482,234695
5호선,개화산,97252,93769,191021
5호선,거여,146856,141021,287877
5호선,고덕,159727,159287,319014
5호선,공덕,257099,274184,531283
5호선,광나루(장신대),234234,213529,447763
5호선,광화문(세종문화회관),547263,562435,1109698
5호선,군자(능동),204329,219281,423610
5호선,굽은다리(강동구민회관앞),173951,166710,340661
5호선,길동,145855,153408,299263
5호선,김포공항,120745,120788,241533
5호선,까치산,544763,529206,1073969
5호선,답십리,304286,281429,585715
5호선,동대문역사문화공원(DDP),55932,63087,119019
5호선,둔촌동,153812,155440,309252
5호선,마곡,172668,167757,340425
5호선,마장,104862,99571,204433
5호선,마천,110413,111409,221822
5호선,마포,261671,269680,531351
5호선,명일,152434,158175,310609
5호선,목동,312435,346224,658659
5호선,미사,242981,242600,485581
5호선,발산,332189,336872,669061
5호선,방이,123281,127645,250926
5호선,방화,123517,118391,241908
5호선,상일동,294050,267754,561804
5호선,서대문,344725,351058,695783
5호선,송정,123897,117299,241196
5호선,신금호,113233,118451,231684
5호선,신길,73526,81881,155407
5호선,신정(은행정),267751,212981,480732
5호선,아차산(어린이대공원후문),261227,260493,521720
5호선,애오개,123313,125189,248502
5호선,양평,143302,144393,287695
5호선,여의나루,128727,131652,260379
5호선,여의도,489189,504062,993251
5호선,영등포구청,77209,78009,155218
5호선,영등포시장,173255,178852,352107
5호선,오금,70277,68462,138739
5호선,오목교(목동운동장앞),398408,430319,828727
5호선,올림픽공원(한국체대),74384,63407,137791
5호선,왕십리(성동구청),81887,87991,169878
5호선,우장산,252663,254329,506992
5호선,을지로4가,117640,119349,236989
5호선,장한평,347816,346369,694185
5호선,종로3가,177892,176608,354500
5호선,천호(풍납토성),329671,330568,660239
5호선,청구,76170,70762,146932
5호선,충정로(경기대입구),91882,93179,185061
5호선,하남풍산,90240,90381,180621
5호선,행당,151066,135664,286730
5호선,화곡,535259,504671,1039930
6호선,고려대(종암),139906,136190,276096
6호선,공덕,333909,323169,657078
6호선,광흥창(서강),159036,155070,314106
6호선,구산,136545,106801,243346
6호선,녹사평(용산구청),78327,77157,155484
