노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,299826,319224,619050
1호선,동묘앞,201491,210572,412063
1호선,서울역,1304813,1218162,2522975
1호선,시청,600933,608809,1209742
1호선,신설동,359967,350250,710217
1호선,제기동,474037,488424,962461
1호선,종각,1045122,1008975,2054097
1호선,종로3가,778142,739750,1517892
1호선,종로5가,618605,616001,1234606
1호선,청량리(서울시립대입구),556636,565090,1121726
2호선,강남,2468243,2511068,4979311
2호선,강변(동서울터미널),956856,955996,1912852
2호선,건대입구,944025,1028927,1972952
2호선,교대(법원.검찰청),879914,1001048,1880962
2호선,구로디지털단지,1536614,1538724,3075338
2호선,구의(광진구청),581782,564719,1146501
2호선,낙성대,681819,656698,1338517
2호선,당산,476921,546502,1023423
2호선,대림(구로구청),652011,665862,1317873
2호선,도림천,29099,31153,60252
2호선,동대문역사문화공원,370191,423842,794033
2호선,뚝섬,465726,495887,961613
2호선,문래,507420,513542,1020962
2호선,방배,428878,441458,870336
2호선,봉천,594503,547663,1142166
2호선,사당,973494,1067787,2041281
2호선,삼성(무역센터),1381081,1406207,2787288
2호선,상왕십리,339898,325688,665586
2호선,서울대입구(관악구청),1216442,1171456,2387898
2호선,서초,521984,519226,1041210
2호선,선릉,1390285,1235844,2626129
2호선,성수,758224,819200,1577424
2호선,시청,637006,611326,1248332
2호선,신답,38149,42886,81035
2호선,신당,341271,354864,696135
2호선,신대방,663894,631321,1295215
2호선,신도림,1308504,1291971,2600475
2호선,신림,1608675,1558216,3166891
2호선,신설동,87570,87440,175010
2호선,신정네거리,229927,237333,467260
2호선,신촌,1013516,1039152,2052668
2호선,아현,239711,229394,469105
2호선,양천구청,171776,180380,352156
2호선,역삼,1251951,1390677,2642628
2호선,영등포구청,548869,554189,1103058
2호선,왕십리(성동구청),425150,356782,781932
2호선,용답,62046,60907,122953
2호선,용두(동대문구청),58868,61860,120728
2호선,을지로3가,560708,560971,1121679
2호선,을지로4가,323963,322897,646860
2호선,을지로입구,1202483,1213334,2415817
2호선,이대,366660,384883,751543
2호선,잠실(송파구청),1917672,1862185,3779857
2호선,잠실나루,383854,372099,755953
2호선,잠실새내,558855,562725,1121580
2호선,종합운동장,206700,229297,435997
2호선,충정로(경기대입구),255936,268897,524833
2호선,한양대,190277,205673,395950
2호선,합정,768915,811384,1580299
2호선,홍대입구,1700656,1811987,3512643
3호선,가락시장,242822,237738,480560
3호선,경복궁(정부서울청사),515448,518472,1033920
3호선,경찰병원,195326,194341,389667
3호선,고속터미널,1246532,1265736,2512268
3호선,교대(법원.검찰청),363299,234081,597380
3호선,구파발,521637,483022,1004659
3호선,금호,203654,188341,391995
3호선,남부터미널(예술의전당),792325,812406,1604731
3호선,녹번,332546,293768,626314
3호선,대청,242776,220002,462778
3호선,대치,302081,293182,595263
3호선,도곡,135925,137108,273033
3호선,독립문,176171,179760,355931
3호선,동대입구,221271,240300,461571
3호선,매봉,284883,271997,556880
3호선,무악재,95840,96619,192459
3호선,불광,409724,444484,854208
3호선,수서,430991,430853,861844
3호선,신사,784937,842804,1627741
3호선,안국,552530,576275,1128805
3호선,압구정,818548,886458,1705006
3호선,약수,326313,315213,641526
3호선,양재(서초구청),976423,1047925,2024348
3호선,연신내,961435,917036,1878471
3호선,오금,159334,139677,299011
3호선,옥수,225889,231992,457881
3호선,을지로3가,276406,286266,562672
3호선,일원,245557,244045,489602
3호선,잠원,150263,144541,294804
3호선,종로3가,265912,320977,586889
3호선,지축,48227,49068,97295
3호선,충무로,35,0,35
3호선,학여울,48528,49282,97810
3호선,홍제,430532,407214,837746
4호선,길음,513646,486241,999887
4호선,남태령,30809,26813,57622
4호선,노원,506842,579059,1085901
4호선,당고개,301886,277381,579267
4호선,동대문,518765,530143,1048908
4호선,동대문역사문화공원,482662,434620,917282
4호선,동작(현충원),53308,55895,109203
4호선,명동,759624,810893,1570517
4호선,미아(서울사이버대학),377472,356289,733761
4호선,미아사거리,704566,686030,1390596
4호선,사당,655061,558795,1213856
4호선,삼각지,117370,133084,250454
4호선,상계,477178,429832,907010
4호선,서울역,326890,536875,863765
4호선,성신여대입구(돈암),524748,503542,1028290
4호선,수유(강북구청),865516,863493,1729009
4호선,숙대입구(갈월),336631,331453,668084
4호선,신용산,404305,421051,825356
4호선,쌍문,751803,678380,1430183
4호선,이촌(국립중앙박물관),199700,217851,417551
4호선,창동,667463,710646,1378109
4호선,총신대입구(이수),500640,548668,1049308
4호선,충무로,711240,728896,1440136
4호선,한성대입구(삼선교),333381,320890,654271
4호선,혜화,880249,897819,1778068
4호선,회현(남대문시장),656581,698634,1355215
5호선,강동,485783,426043,911826
5호선,개롱,162235,166297,328532
5호선,개화산,137144,130298,267442
5호선,거여,185995,173726,359721
5호선,고덕,226507,225127,451634
5호선,공덕,341671,367110,708781
5호선,광나루(장신대),321601,287822,609423
5호선,광화문(세종문화회관),825076,866797,1691873
5호선,군자(능동),262198,287000,549198
5호선,굽은다리(강동구민회관앞),223983,213243,437226
5호선,길동,180926,192669,373595
5호선,김포공항,193871,182764,376635
5호선,까치산,714248,679194,1393442
5호선,답십리,387201,353188,740389
5호선,동대문역사문화공원,72304,85348,157652
5호선,둔촌동,205241,209288,414529
5호선,마곡,176170,164315,340485
5호선,마장,148323,142206,290529
5호선,마천,122089,122054,244143
5호선,마포,351095,360613,711708
5호선,명일,205966,213611,419577
5호선,목동,432876,468646,901522
5호선,발산,464012,471182,935194
5호선,방이,177437,182779,360216
5호선,방화,167965,159164,327129
5호선,상일동,368684,312213,680897
5호선,서대문,442403,453806,896209
5호선,송정,175049,160361,335410
