사용일자,노선명,역명,승차총승객수,하차총승객수
20200106,5호선,을지로4가,6647,6963
20200106,5호선,장한평,20657,20812
20200106,5호선,종로3가,16805,16250
20200106,5호선,천호(풍납토성),20185,21113
20200106,5호선,청구,4628,4146
20200106,5호선,충정로(경기대입구),5358,5461
20200106,5호선,행당,9445,8501
20200106,5호선,화곡,33022,30841
20200106,6호선,고려대(종암),9845,9621
20200106,6호선,공덕,21503,21221
20200106,6호선,광흥창(서강),10878,10685
20200106,6호선,구산,8642,6811
20200106,6호선,녹사평(용산구청),5041,4972
20200106,6호선,대흥(서강대앞),9716,10241
20200106,6호선,독바위,3106,3274
20200106,6호선,돌곶이,10142,9442
20200106,6호선,동묘앞,9057,9480
20200106,6호선,디지털미디어시티,15686,17239
20200106,6호선,마포구청,16291,14754
20200106,6호선,망원,15149,16288
20200106,6호선,버티고개,2596,2494
20200106,6호선,보문,8267,7512
20200106,6호선,봉화산(서울의료원),11099,10098
20200106,6호선,불광,4988,5080
20200106,6호선,삼각지,6401,5635
20200106,6호선,상수,9848,10810
20200106,6호선,상월곡(한국과학기술연구원),6798,6236
20200106,6호선,새절(신사),14612,13949
20200106,6호선,석계,14149,14922
20200106,6호선,신당,9552,10092
20200106,6호선,안암(고대병원앞),13830,13887
20200106,6호선,약수,4360,4435
20200106,6호선,역촌,4478,5053
20200106,6호선,월곡(동덕여대),13740,13484
20200106,6호선,월드컵경기장(성산),4784,4936
20200106,6호선,응암,19468,19376
20200106,6호선,이태원,12168,12545
20200106,6호선,증산(명지대앞),11282,11022
20200106,6호선,창신,4084,3434
20200106,6호선,청구,4189,4705
20200106,6호선,태릉입구,5923,6715
20200106,6호선,한강진,6900,8113
20200106,6호선,합정,14413,13795
20200106,6호선,화랑대(서울여대입구),13621,10322
20200106,6호선,효창공원앞,7882,7285
20200106,7호선,가산디지털단지,51719,51373
20200106,7호선,강남구청,17523,19523
20200106,7호선,건대입구,16048,17295
20200106,7호선,고속터미널,21153,17215
20200106,7호선,공릉(서울과학기술대),13699,13705
20200106,7호선,광명사거리,27363,26887
20200106,7호선,군자(능동),16168,12820
20200106,7호선,굴포천,10162,10736
20200106,7호선,까치울,7936,7555
20200106,7호선,남구로,18920,20307
20200106,7호선,남성,12967,12081
20200106,7호선,내방,16259,16743
20200106,7호선,노원,23649,24603
20200106,7호선,논현,23144,25436
20200106,7호선,대림(구로구청),10241,10139
20200106,7호선,도봉산,9734,10809
20200106,7호선,뚝섬유원지,7297,7060
20200106,7호선,마들,13280,12740
20200106,7호선,먹골,11619,11385
20200106,7호선,면목,17000,16448
20200106,7호선,반포,7044,7008
20200106,7호선,보라매,10917,10907
20200106,7호선,부천시청,13823,13801
20200106,7호선,부천종합운동장,5133,4274
20200106,7호선,부평구청,13633,10887
20200106,7호선,사가정,17232,17308
20200106,7호선,삼산체육관,5618,4997
20200106,7호선,상도,12412,12104
20200106,7호선,상동,15455,15703
20200106,7호선,상봉(시외버스터미널),18824,17621
20200106,7호선,수락산,13861,13953
20200106,7호선,숭실대입구(살피재),16104,16042
20200106,7호선,신대방삼거리,18972,18414
20200106,7호선,신중동,16572,16282
20200106,7호선,신풍,12828,12309
20200106,7호선,어린이대공원(세종대),13581,13101
20200106,7호선,온수(성공회대입구),11560,10953
20200106,7호선,용마산,6717,6439
20200106,7호선,이수,18293,17872
20200106,7호선,장승배기,12012,11705
20200106,7호선,장암,2742,776
20200106,7호선,중계,16869,15695
20200106,7호선,중곡,11036,10303
20200106,7호선,중화,12647,12435
20200106,7호선,천왕,11183,10242
20200106,7호선,철산,25268,26131
20200106,7호선,청담,23172,26330
20200106,7호선,춘의,10557,10340
20200106,7호선,태릉입구,9059,8538
20200106,7호선,하계,20533,19681
20200106,7호선,학동,27328,29092
20200106,8호선,가락시장,8998,10260
20200106,8호선,강동구청,12533,13141
20200106,8호선,남한산성입구(성남법원.검찰청),14943,13625
20200106,8호선,단대오거리,11356,11164
20200106,8호선,모란,4901,3632
20200106,8호선,몽촌토성(평화의문),6221,6460
20200106,8호선,문정,24409,25309
20200106,8호선,복정,12136,10119
20200106,8호선,산성,5878,5799
20200106,8호선,석촌,9019,10285
20200106,8호선,송파,10797,10430
20200106,8호선,수진,6067,5809
20200106,8호선,신흥,5236,5556
20200106,8호선,암사,21332,18924
20200106,8호선,잠실(송파구청),17104,19032
20200106,8호선,장지,19985,18891
20200106,8호선,천호(풍납토성),19121,21403
20200106,9호선,가양,23013,22477
20200106,9호선,개화,3192,2087
20200106,9호선,고속터미널,14564,19485
20200106,9호선,공항시장,3159,3586
20200106,9호선,구반포,3706,3970
20200106,9호선,국회의사당,20018,19377
