사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201502,경의중앙선,도심,6563,26257,16872,7918,13412,1110,205,3557,13588,52836,37228
201502,경의중앙선,디지털미디어시티,5676,18618,15461,10331,11284,617,157,6657,9235,34954,30529
201502,경의중앙선,망우,16633,86810,68303,31794,58378,4979,470,15581,44442,164050,129848
201502,경의중앙선,문산,18949,73286,55650,26813,39005,3758,16,10706,38512,127199,113127
201502,경의중앙선,백마,15784,57536,36260,21936,41870,2045,698,11146,40596,124817,93338
201502,경의중앙선,상봉,11609,55525,45478,21710,39830,4548,726,14182,34722,113342,92535
201502,경의중앙선,서강대,7453,14832,18261,9723,7501,211,17,9333,4792,28174,30523
201502,경의중앙선,서울역,38738,23259,25066,35019,10698,653,4,15480,4515,45047,68323
201502,경의중앙선,수색,11303,15309,18486,12303,8242,556,120,5907,5379,28593,35288
201502,경의중앙선,신원,586,3397,2622,1155,854,63,22,194,808,4499,4038
201502,경의중앙선,신촌,8836,5720,8371,7143,3968,188,7,5180,1611,12198,18825
201502,경의중앙선,아신,1489,9667,7428,3073,4127,256,34,1078,5134,14850,14085
201502,경의중앙선,양수,3749,23412,18768,6993,10316,486,93,2572,9240,35243,31850
201502,경의중앙선,양원,11766,21477,15783,6355,9990,1183,151,2561,7883,36276,35583
201502,경의중앙선,양정,4212,7859,5918,5387,3205,256,141,1344,2705,13222,12976
201502,경의중앙선,양평,9189,49712,42279,16376,22674,1381,44,8810,20452,78150,71964
201502,경의중앙선,오빈,768,4051,2691,966,1932,223,5,313,1920,6496,5384
201502,경의중앙선,용문,5290,41729,40388,11622,13717,802,5,2820,10558,55460,56241
201502,경의중앙선,운길산,1969,12645,15808,6918,3441,150,32,2021,2910,17874,20719
201502,경의중앙선,운정,12812,49478,29271,17786,34461,2373,155,7277,36430,104385,78668
201502,경의중앙선,원덕,708,4995,3581,1301,1971,255,2,250,1624,7182,5915
201502,경의중앙선,월롱,16836,17152,14041,15280,8984,406,3,6380,12385,29869,43265
201502,경의중앙선,일산,18512,82889,61293,27930,60540,3639,842,15434,62064,179918,142711
201502,경의중앙선,중랑,10315,65539,44780,20651,46015,4087,329,11575,40017,130103,95441
201502,경의중앙선,탄현,15869,71810,47750,26918,54564,3718,449,16192,56898,156158,120966
201502,경의중앙선,파주,4231,13793,7612,6786,4527,465,1,1629,4090,22133,15934
201502,경의중앙선,팔당,1535,8707,12762,4669,2340,139,48,1324,1254,12424,15599
201502,경의중앙선,풍산,8979,42788,31255,15630,26489,1483,234,10378,28698,84355,69166
201502,경의중앙선,행신,14028,62400,39932,22336,51412,1686,689,14168,46531,137850,101180
201502,경의중앙선,홍대입구,4165,6363,20172,7354,11123,244,22,10042,6049,18435,30408
201502,경의중앙선,화전,5040,16026,17084,9434,6396,320,168,4581,5412,26166,27704
201502,경의중앙선,회기,80960,303012,260425,142416,185962,9704,2450,105397,171967,562836,515802
201503,경의중앙선,가좌,12028,36301,35350,16857,21890,1300,180,7954,14362,69569,61920
201503,경의중앙선,강매,3383,22658,12220,5681,17347,847,111,1928,20248,55129,35962
201503,경의중앙선,검암,0,0,0,0,0,0,0,1,0,4,0
201503,경의중앙선,계양,0,2,0,3,0,0,0,0,0,3,0
201503,경의중앙선,곡산,3485,5673,5479,4182,3555,134,223,1512,2568,11081,11755
201503,경의중앙선,공덕,22806,18354,22592,19924,13183,337,70,13448,9808,40818,55276
201503,경의중앙선,구리,42742,171307,141509,69476,142511,8396,1556,42460,116788,352342,302595
201503,경의중앙선,국수,5845,13589,12263,7857,4427,347,10,1139,4998,20333,23116
201503,경의중앙선,금릉,15883,54817,40436,24028,45260,3088,259,16682,37948,120756,94526
201503,경의중앙선,금촌,30194,86150,66651,39574,57395,3565,255,19610,49349,171838,146449
201503,경의중앙선,능곡,9967,42991,30771,14350,30539,1759,302,7527,27751,94519,68791
201503,경의중앙선,덕소,14194,85212,60874,25088,66031,4647,842,12431,62599,174333,138509
201503,경의중앙선,도농,27958,120428,64374,38721,76387,6951,1386,16178,78449,248399,172167
201503,경의중앙선,도심,9488,31817,18820,9776,19386,1435,275,4372,18387,71209,46970
201503,경의중앙선,디지털미디어시티,8742,23241,21929,14474,15768,807,152,10262,12705,48791,43528
201503,경의중앙선,망우,25328,102697,82203,40449,75493,7047,632,18098,57486,210015,165649
201503,경의중앙선,문산,26038,81125,64436,34324,47797,4864,10,13280,47144,152468,137628
201503,경의중앙선,백마,22493,72671,44571,27178,58565,2935,829,14332,57171,172621,125064
201503,경의중앙선,상봉,16136,66460,53365,25802,52599,6067,928,17009,44787,145792,115216
201503,경의중앙선,서강대,13747,18194,28133,15710,10655,278,8,16191,6521,40362,48409
201503,경의중앙선,서울역,52327,24892,36003,42770,13099,672,21,20157,5616,53129,93967
201503,경의중앙선,수색,15957,18551,22372,16202,10977,752,162,7720,7423,37105,45914
201503,경의중앙선,신원,984,4330,3717,2023,1112,89,38,517,993,6224,5732
201503,경의중앙선,신촌,14034,6973,12679,9884,6170,226,2,7720,2223,16514,28938
201503,경의중앙선,아신,4273,12559,10886,5888,5481,338,44,1666,6966,20344,22169
201503,경의중앙선,양수,6721,25490,24196,12558,13025,558,135,3640,11815,43007,42867
201503,경의중앙선,양원,26741,29461,18864,12131,13341,1628,194,5433,10225,52695,56024
201503,경의중앙선,양정,6212,9640,8351,7870,4264,391,210,1625,3176,17173,17949
201503,경의중앙선,양평,13979,53884,48042,21305,29529,1692,33,11538,24566,95121,86620
201503,경의중앙선,오빈,1041,4859,3753,1565,2581,239,1,388,2332,8248,7127
201503,경의중앙선,용문,8399,47333,51157,16614,15819,1215,8,4250,12516,67007,72080
201503,경의중앙선,운길산,2846,17676,24969,11017,4905,237,57,2713,3561,25798,31433
201503,경의중앙선,운정,16804,59145,36570,21796,48314,3318,184,9161,48648,144064,102206
201503,경의중앙선,원덕,916,6080,5490,2006,2501,304,5,384,2137,9554,8548
201503,경의중앙선,월롱,31003,28255,26019,24252,11776,487,7,9980,15428,45851,72457
201503,경의중앙선,일산,31119,104485,70974,37073,86253,4721,1087,19100,84766,246304,187946
201503,경의중앙선,중랑,12842,74926,52191,24461,58554,5361,449,13821,49195,161335,114677
201503,경의중앙선,탄현,21347,87233,54852,32547,76264,4910,545,19174,75896,209194,152640
201503,경의중앙선,파주,13366,26560,22375,17849,6194,549,0,4601,5723,40241,41464
201503,경의중앙선,팔당,2379,12258,20252,8018,3745,151,67,2000,1593,18138,24291
201503,경의중앙선,풍산,11635,52602,37108,19154,35954,1957,348,12171,38689,112496,87780
201503,경의중앙선,행신,17884,78854,49383,26773,70696,2267,943,17111,64189,188547,132399
201503,경의중앙선,홍대입구,7721,7977,21940,10151,13578,313,39,13219,7277,24431,36977
201503,경의중앙선,화전,19839,37210,54031,32114,10385,397,285,16840,10576,62193,84731
201503,경의중앙선,회기,156645,391456,380553,226069,246819,12554,3156,178114,220969,779608,761323
201504,경의중앙선,가좌,12572,36967,35329,17096,22940,1423,217,8341,15039,73016,63157
201504,경의중앙선,강매,3598,23395,12957,5737,18481,1078,132,2106,21027,58642,37714
201504,경의중앙선,검암,0,1,0,2,0,0,0,0,0,2,0
201504,경의중앙선,계양,0,2,0,0,0,0,0,1,0,3,0
201504,경의중앙선,곡산,3559,5916,5848,4134,3574,177,242,1596,2685,11497,12334
201504,경의중앙선,공덕,23399,18747,22740,20032,13501,355,95,13399,10338,41996,56572
201504,경의중앙선,구리,44855,168758,139236,67042,138492,8951,1680,42521,114956,351475,300727
201504,경의중앙선,국수,6351,14685,14247,7891,4530,445,11,1336,5058,21990,25667
201504,경의중앙선,금릉,16370,54760,40413,24262,44489,3240,242,15597,38563,120348,95588
201504,경의중앙선,금촌,31573,86648,66663,39596,56468,3699,269,20096,49611,174321,148116
201504,경의중앙선,김포공항,0,0,0,1,0,0,0,2,0,2,0
201504,경의중앙선,능곡,10246,45265,32939,14816,31603,2005,262,8520,28087,99179,71534
201504,경의중앙선,덕소,15682,84241,61437,25157,63426,4700,1005,12788,60455,173408,138579
201504,경의중앙선,도농,30151,119246,64469,38583,74291,7261,1342,16011,77433,248109,173395
201504,경의중앙선,도심,9958,32075,20298,10122,19498,1434,332,4506,18196,72182,48784
201504,경의중앙선,디지털미디어시티,8558,23569,22436,14399,16042,875,167,10326,13450,50121,44611
201504,경의중앙선,망우,26039,101391,81231,38667,75967,7491,726,18721,56936,211401,164932
201504,경의중앙선,문산,27757,80353,64780,35580,45916,4711,10,13152,45523,152103,138070
201504,경의중앙선,백마,23102,71426,45527,26872,56951,3149,817,14399,56480,172520,125926
201504,경의중앙선,상봉,16231,65759,51256,25300,53137,6822,981,16772,45536,147886,114004
201504,경의중앙선,서강대,13660,18617,26823,14340,10695,302,23,16014,7199,41449,47705
201504,경의중앙선,서울역,51823,25741,37296,41376,13525,666,11,21253,6259,55432,95389
201504,경의중앙선,수색,17262,19616,24145,17575,11499,839,232,8308,7903,39348,49542
201504,경의중앙선,신원,1175,4895,4959,2370,1176,106,25,500,1044,6838,7203
201504,경의중앙선,신촌,14096,7231,12495,9753,5312,223,11,7647,2119,16852,28721
201504,경의중앙선,아신,4545,12870,12018,6154,5435,417,34,1932,6892,21213,23489
201504,경의중앙선,양수,8175,28216,27891,13573,13207,767,191,4487,11694,47148,47951
201504,경의중앙선,양원,25976,29089,19581,11352,13641,1599,245,5667,10456,52774,56258
201504,경의중앙선,양정,7198,10353,9250,8921,4379,363,270,2053,3357,18618,20075
201504,경의중앙선,양평,15611,54657,51554,22724,28168,1588,89,12072,24282,96437,91536
201504,경의중앙선,오빈,1241,5361,4755,1863,2514,230,3,522,2299,8990,8298
201504,경의중앙선,용문,10407,53619,64890,21148,15642,1359,6,4417,12435,73832,87738
201504,경의중앙선,운길산,4096,20866,30614,12627,4995,231,51,3463,3580,29703,38341
201504,경의중앙선,운정,17329,59360,38091,22278,48309,3605,220,9265,49310,145824,104950
201504,경의중앙선,원덕,1341,7064,9101,3392,2424,320,4,448,2222,10708,12668
201504,경의중앙선,월롱,29722,28295,27963,25130,11071,509,21,9768,14554,45513,72260
201504,경의중앙선,일산,31943,104316,73340,37496,86085,5215,1154,20435,83684,248932,190121
201504,경의중앙선,중랑,12892,74497,52222,23189,58637,5850,519,13780,49064,163236,114697
201504,경의중앙선,탄현,21893,87048,56633,31513,75420,5118,519,19945,75367,210474,154412
201504,경의중앙선,파주,13417,26031,22939,17845,5945,580,2,4837,5383,40183,41741
201504,경의중앙선,팔당,3207,14264,24076,9179,3988,163,128,2617,1772,21210,29183
201504,경의중앙선,풍산,12180,52140,37093,19082,35928,2106,389,12461,38264,112617,87926
201504,경의중앙선,행신,18622,77832,49396,27923,69416,2557,1027,18394,63788,189222,132833
201504,경의중앙선,홍대입구,8070,8432,21399,9705,14084,348,48,13898,8344,25753,37861
201504,경의중앙선,화전,17617,36705,52984,26774,10323,524,351,19147,9874,64819,80826
201504,경의중앙선,회기,148470,380015,371054,216380,236410,13187,3166,169344,214876,761314,737566
201505,경의중앙선,가좌,12705,38898,36587,17600,23560,1589,189,9175,16192,74852,65673
201505,경의중앙선,강매,3654,25219,14038,6482,18262,1236,191,2424,21033,58494,38916
201505,경의중앙선,검암,0,0,0,1,0,0,0,0,0,1,0
201505,경의중앙선,계양,0,0,0,2,0,0,0,0,0,0,0
201505,경의중앙선,곡산,3528,6348,6002,4382,3808,188,247,1974,2626,11933,12403
201505,경의중앙선,공덕,16194,17452,20998,13862,13239,378,94,9441,10748,35896,48034
201505,경의중앙선,구리,42266,185079,154837,72364,138139,9450,1801,47311,117977,364038,316881
201505,경의중앙선,국수,5529,15104,14717,7404,5113,384,16,1973,5251,23050,25513
201505,경의중앙선,금릉,15367,60752,43912,24790,44513,3399,253,16715,40120,124755,99652
201505,경의중앙선,금촌,29867,94352,71791,41343,57673,3811,320,22108,52243,180420,154221
201505,경의중앙선,김포공항,0,3,0,0,0,0,0,2,0,6,0
201505,경의중앙선,능곡,10119,46158,33505,15419,30369,2157,304,9257,28944,97137,72872
201505,경의중앙선,덕소,16040,91775,66189,26918,62931,5046,1109,14427,61182,177423,144520
201505,경의중앙선,도농,30383,127130,67674,38911,72627,7693,1344,16653,77204,248137,176605
201505,경의중앙선,도심,9334,35726,22403,9994,19736,1640,338,5089,18276,73673,50351
201505,경의중앙선,디지털미디어시티,8306,26388,22773,14139,16349,902,200,10573,14491,52655,45770
201505,경의중앙선,망우,24929,109448,85920,40748,76654,8666,674,20283,58842,216459,170365
201505,경의중앙선,문산,27547,90222,73601,37656,47409,4981,16,15010,48411,161783,149575
201505,경의중앙선,백마,21471,75455,47170,27827,55514,3410,770,15089,55252,168150,124663
201505,경의중앙선,상봉,16325,74273,56988,26993,54597,7495,846,18915,48668,156301,122827
201505,경의중앙선,서강대,13488,20210,28534,15559,12402,331,23,17398,8763,44484,50808
201505,경의중앙선,서울역,45043,27805,38920,38323,13375,842,14,21647,6958,57930,90935
201505,경의중앙선,수색,15672,21184,25334,16354,11427,966,246,7886,8320,40579,49572
201505,경의중앙선,신원,1427,5744,4953,2857,1237,138,32,647,1069,7783,7481
201505,경의중앙선,신촌,12197,8012,13272,9895,5693,340,17,7726,2476,17655,27962
201505,경의중앙선,아신,4509,14473,13289,6923,5981,472,43,2486,7316,23378,25157
201505,경의중앙선,양수,8949,33645,36168,17259,14497,838,210,5969,12111,53266,57438
201505,경의중앙선,양원,22117,28651,21345,12121,13791,1861,250,5626,10787,51663,54499
201505,경의중앙선,양정,7207,11579,9131,8762,4693,460,364,2375,3562,19901,20264
201505,경의중앙선,양평,16882,64693,59522,25693,30162,1810,143,13990,26891,106972,103438
201505,경의중앙선,오빈,1305,6133,5150,2124,2600,242,4,639,2542,9746,9001
201505,경의중앙선,용문,12820,72310,92049,31226,18035,1395,7,6824,14092,94899,118968
201505,경의중앙선,운길산,5818,24874,36524,15949,5875,285,118,5490,4093,35799,46553
201505,경의중앙선,운정,17493,64059,40454,24297,46935,3624,231,10209,48430,142677,106608
201505,경의중앙선,원덕,1579,6811,6614,2944,2537,338,3,757,2351,10681,10547
201505,경의중앙선,월롱,26397,26275,25068,23531,11175,534,32,8852,15858,42572,67355
