사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202302,경부선,가산디지털단지,33960,213051,97907,175552,218303,71433,67741,42029
202302,경부선,관악,72671,18503,76278,58396,27982,64729,11570,41358
202302,경부선,광명,23930,15465,33121,32369,26427,25206,13795,11328
202302,경부선,구로,83447,108868,159786,176802,130934,104973,50846,75193
202302,경부선,군포,42581,80310,53168,41296,69775,36639,17713,22864
202302,경부선,금정,201996,141988,249649,197497,165633,224151,74581,153030
202302,경부선,금천구청,95860,46372,116253,86919,53172,101925,20392,57173
202302,경부선,남영,33947,70611,80297,91386,84200,55321,41316,32579
202302,경부선,노량진,42994,27392,84834,79525,46615,80479,45195,39468
202302,경부선,당정,53557,25259,57386,37768,28883,46884,11186,36717
202302,경부선,대방,59854,77958,98725,95701,76272,72875,28186,47694
202302,경부선,독산,100325,157597,131193,128290,165965,102330,41816,68987
202302,경부선,두정,35042,17969,66235,64483,36129,48847,17458,35609
202302,경부선,명학,55242,82269,66135,53461,71026,47901,21821,31651
202302,경부선,병점,105478,51659,154809,107435,75091,118311,32668,96539
202302,경부선,서동탄,16721,3728,12286,7726,4887,12389,1698,9282
202302,경부선,서울역,30187,15783,114767,27466,54593,21446,50058,9478
202302,경부선,서정리,37260,41413,85234,62385,67692,51234,24042,41842
202302,경부선,석수,81341,30277,89679,60818,40131,73949,14940,48393
202302,경부선,성균관대,137368,32185,135869,107107,58191,139643,35155,90826
202302,경부선,성환,14258,18938,43604,35194,25397,19452,6614,17171
202302,경부선,세류,30869,9697,28843,21872,14482,26400,6182,19198
202302,경부선,세마,20777,15333,31182,19462,16652,21492,5469,16114
202302,경부선,송탄,29055,15957,52699,36595,24966,35681,10839,30326
202302,경부선,수원,157092,131529,349360,464716,242462,289925,209044,148891
202302,경부선,신길,63018,47047,81439,56751,56017,51691,20240,38599
202302,경부선,신도림,20400,23042,32573,36746,28407,29221,14366,13875
202302,경부선,안양,178812,54796,222024,192210,90860,199330,58207,109543
202302,경부선,영등포,103971,198256,373235,554566,351716,266730,249947,104628
202302,경부선,오산,55372,49624,112144,88435,62184,75651,26570,49074
202302,경부선,오산대,25697,12773,33560,24447,18588,28722,8537,18042
202302,경부선,용산,56194,245859,377649,554754,375269,218330,271848,81906
202302,경부선,의왕,62429,64663,79630,56928,61386,59790,19087,41681
202302,경부선,직산,4741,7328,8794,6646,7450,5120,1933,4045
202302,경부선,진위,6193,18194,13035,10411,20386,6580,4141,4963
202302,경부선,천안,22620,17242,80318,79869,33894,43247,17061,23262
202302,경부선,평택,55241,42636,147731,143286,77204,90946,51899,56183
202302,경부선,평택지제,21742,32134,38515,28351,38034,23775,16074,19416
202302,경부선,화서,90624,20499,77204,52281,27897,80984,11634,49574
202301,경부선,가산디지털단지,33750,208876,97416,172690,210135,69170,63231,41491
202301,경부선,관악,70036,18824,73745,56491,27242,62667,11414,39920
202301,경부선,광명,23904,14469,33103,31382,26369,24984,13685,11397
202301,경부선,구로,82089,107950,159214,176212,129627,101326,51160,73390
202301,경부선,군포,42331,79794,53095,40864,69116,35818,17301,23427
202301,경부선,금정,196563,138890,247943,200409,163312,219510,73751,148857
202301,경부선,금천구청,92710,45168,110813,85025,52057,98314,20305,54616
202301,경부선,남영,33665,67159,80140,88893,78685,54303,38617,32270
202301,경부선,노량진,42949,29271,89384,86220,47121,80353,44082,38726
202301,경부선,당정,53370,23319,54753,35999,27771,46285,10583,35990
202301,경부선,대방,59524,77749,97848,90020,73929,71366,27113,47493
202301,경부선,독산,97534,156389,133341,130687,163308,99973,39520,66206
202301,경부선,두정,35072,17706,64914,60421,34011,47950,16083,34984
202301,경부선,명학,53895,81895,64282,50422,70215,46297,20440,31484
202301,경부선,병점,102679,51494,151014,106330,73382,116011,32251,93178
202301,경부선,서동탄,16168,3568,11875,7449,4947,11493,1602,8968
202301,경부선,서울역,29420,14564,109733,27771,55277,20970,51512,9230
202301,경부선,서정리,36724,39787,85278,62888,63763,51731,22737,42958
202301,경부선,석수,78970,29007,87744,58387,39188,72307,14379,46183
202301,경부선,성균관대,133488,31014,128537,100964,56162,135377,32456,87768
202301,경부선,성환,13829,20010,44382,33840,25914,20350,6160,17121
202301,경부선,세류,30529,9193,29220,22170,14553,25821,6101,18624
202301,경부선,세마,20238,14317,30127,18962,16010,21381,5362,15661
202301,경부선,송탄,28539,15759,53606,38986,24942,36285,10946,31917
202301,경부선,수원,152979,130083,358297,475912,248282,290004,210710,145581
202301,경부선,신길,62236,44546,79316,55763,54438,50665,19022,38257
202301,경부선,신도림,19755,21854,30615,34849,26315,27546,13407,13476
202301,경부선,안양,175012,53568,214466,190417,89433,194515,58644,106274
202301,경부선,영등포,103359,195160,375353,559816,356265,266336,251476,104221
202301,경부선,오산,53800,50365,115043,90143,62917,75897,26619,49092
202301,경부선,오산대,25188,12668,32864,23863,17729,27977,8451,17437
202301,경부선,용산,57341,247694,385217,571074,384659,215181,281266,80436
202301,경부선,의왕,61346,60840,77038,54739,57968,58951,17597,40544
202301,경부선,직산,4670,6925,8752,6771,7199,5122,1712,3923
202301,경부선,진위,5981,17748,13061,10334,19626,6553,3812,4689
202301,경부선,천안,21735,16885,81861,81116,33684,43146,16861,22920
202301,경부선,평택,54038,42540,150353,149092,79226,93027,52877,55248
202301,경부선,평택지제,21110,31863,39471,28912,36685,23736,16722,19011
202301,경부선,화서,87991,18793,71860,50344,26445,78420,11045,47171
202212,경부선,가산디지털단지,37798,215703,108856,188193,214974,75974,70577,46646
202212,경부선,관악,76680,20870,82655,63431,29815,68076,13264,45797
202212,경부선,광명,24242,15716,34816,34251,28279,26068,14283,12657
202212,경부선,구로,92382,118656,176093,197567,142749,113776,59769,86159
202212,경부선,군포,48773,85874,58773,43616,72410,39297,19582,26650
202212,경부선,금정,216355,149232,276513,219445,173894,238270,83273,170810
202212,경부선,금천구청,103571,50524,125275,94273,56311,105957,22686,62942
202212,경부선,남영,36382,76558,94668,106960,81850,60711,46219,36471
202212,경부선,노량진,47684,27499,99418,103584,54783,100509,56375,45552
202212,경부선,당정,59360,26980,67768,46893,32079,50872,12715,41147
202212,경부선,대방,66866,83889,113638,106896,79793,82284,31964,56050
202212,경부선,독산,105275,164910,145823,142076,173250,107325,43622,74776
202212,경부선,두정,41825,29334,87544,89960,44937,56413,21676,41027
202212,경부선,명학,59906,88667,76760,63852,75062,49795,24968,35660
202212,경부선,병점,120227,59242,178689,131383,85112,133250,38068,106404
202212,경부선,서동탄,17809,3678,12363,8081,5206,12512,1785,10293
202212,경부선,서울역,29765,15443,122336,30938,61787,22770,50945,11472
202212,경부선,서정리,42963,47461,97390,69589,72529,55415,26239,45018
202212,경부선,석수,87215,34314,100365,65536,45011,77593,16026,53665
202212,경부선,성균관대,148113,38420,155506,119103,65566,147430,37517,102737
202212,경부선,성환,16409,28460,60986,50582,33375,22740,8671,20030
202212,경부선,세류,33838,10156,31291,24169,15936,28520,6937,20263
