사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,8호선,석촌,5696,6892,5696,6892
202201,8호선,송파,4613,4937,4613,4937
202201,8호선,수진,4026,3763,4026,3763
202201,8호선,신흥,3256,3630,3256,3630
202201,8호선,암사,11597,10700,11597,10700
202201,8호선,잠실,12827,14581,12827,14581
202201,8호선,장지,11516,10918,11516,10918
202201,8호선,천호,11676,13571,11676,13571
202201,8호선,가락시장,2847,3580,2847,3580
202201,8호선,강동구청,4146,4348,4146,4348
202201,8호선,남위례,1793,2029,1793,2029
202201,8호선,남한산성입구,6318,5883,6318,5883
202201,8호선,단대오거리,5287,5212,5287,5212
202201,8호선,모란,4599,3762,4599,3762
202201,8호선,몽촌토성,2787,2774,2787,2774
202201,8호선,문정,5089,5522,5089,5522
202201,8호선,복정,4167,3909,4167,3909
202201,8호선,산성,2863,2834,2863,2834
202201,8호선,석촌,3966,4859,3966,4859
202201,8호선,송파,3368,3491,3368,3491
202201,8호선,수진,2955,2782,2955,2782
202201,8호선,신흥,2600,2882,2600,2882
202201,8호선,암사,8075,7758,8075,7758
202201,8호선,잠실,9598,10440,9598,10440
202201,8호선,장지,8508,8588,8508,8588
202201,8호선,천호,8222,9376,8222,9376
202201,8호선,가락시장,7613,8449,7613,8449
202201,8호선,강동구청,10420,10850,10420,10850
202201,8호선,남위례,3457,3858,3457,3858
202201,8호선,남한산성입구,13205,12199,13205,12199
202201,8호선,단대오거리,10126,10040,10126,10040
202201,8호선,모란,4214,3239,4214,3239
202201,8호선,몽촌토성,5967,6006,5967,6006
202201,8호선,문정,22817,24018,22817,24018
202201,8호선,복정,9180,7809,9180,7809
202201,8호선,산성,5055,5195,5055,5195
202201,8호선,석촌,7655,8722,7655,8722
202201,8호선,송파,7326,7379,7326,7379
202201,8호선,수진,5155,4707,5155,4707
202201,8호선,신흥,4157,4526,4157,4526
202201,8호선,암사,18677,16841,18677,16841
202201,8호선,잠실,13458,15694,13458,15694
202201,8호선,장지,16458,16100,16458,16100
202201,8호선,천호,14382,16325,14382,16325
202201,8호선,가락시장,7765,8457,7765,8457
202201,8호선,강동구청,10578,11052,10578,11052
202201,8호선,남위례,3596,3949,3596,3949
202201,8호선,남한산성입구,13263,12225,13263,12225
202201,8호선,단대오거리,10089,10038,10089,10038
202201,8호선,모란,4149,3081,4149,3081
202201,8호선,몽촌토성,6122,6134,6122,6134
202201,8호선,문정,23158,24319,23158,24319
202201,8호선,복정,9388,8012,9388,8012
202201,8호선,산성,5194,5197,5194,5197
202201,8호선,석촌,7982,8909,7982,8909
202201,8호선,송파,7505,7661,7505,7661
202201,8호선,수진,5158,4798,5158,4798
202201,8호선,신흥,3987,4505,3987,4505
202201,8호선,암사,18867,16917,18867,16917
202201,8호선,잠실,13885,16051,13885,16051
202201,8호선,장지,17275,16646,17275,16646
202201,8호선,천호,14611,16789,14611,16789
202201,8호선,가락시장,7578,8242,7578,8242
202201,8호선,강동구청,10562,11029,10562,11029
202201,8호선,남위례,3584,3917,3584,3917
202201,8호선,남한산성입구,12895,11998,12895,11998
202201,8호선,단대오거리,10062,9939,10062,9939
202201,8호선,모란,4124,3136,4124,3136
202201,8호선,몽촌토성,5960,6114,5960,6114
202201,8호선,문정,23210,24210,23210,24210
202201,8호선,복정,9378,7802,9378,7802
202201,8호선,산성,5110,5061,5110,5061
202201,8호선,석촌,7763,8861,7763,8861
202201,8호선,송파,7203,7502,7203,7502
202201,8호선,수진,5091,4732,5091,4732
202201,8호선,신흥,3947,4317,3947,4317
202201,8호선,암사,18482,16636,18482,16636
202201,8호선,잠실,14155,16400,14155,16400
202201,8호선,장지,17023,16584,17023,16584
202201,8호선,천호,14500,16416,14500,16416
202201,8호선,가락시장,7548,8400,7548,8400
202201,8호선,강동구청,10446,10885,10446,10885
202201,8호선,남위례,3601,3804,3601,3804
202201,8호선,남한산성입구,12894,11892,12894,11892
202201,8호선,단대오거리,10016,9977,10016,9977
202201,8호선,모란,4120,3234,4120,3234
202201,8호선,몽촌토성,6043,6180,6043,6180
202201,8호선,문정,23139,24124,23139,24124
202201,8호선,복정,9317,7931,9317,7931
202201,8호선,산성,5086,5128,5086,5128
202201,8호선,석촌,7829,8898,7829,8898
202201,8호선,송파,7286,7445,7286,7445
202201,8호선,수진,5210,4730,5210,4730
202201,8호선,신흥,3992,4425,3992,4425
202201,8호선,암사,18779,16757,18779,16757
202201,8호선,잠실,14087,16394,14087,16394
202201,8호선,장지,16891,16378,16891,16378
202201,8호선,천호,14551,16391,14551,16391
202201,8호선,가락시장,8127,8966,8127,8966
202201,8호선,강동구청,10602,10974,10602,10974
202201,8호선,남위례,3735,4105,3735,4105
202201,8호선,남한산성입구,13557,12153,13557,12153
202201,8호선,단대오거리,10530,10175,10530,10175
202201,8호선,모란,5735,4625,5735,4625
202201,8호선,몽촌토성,5891,6126,5891,6126
202201,8호선,문정,22874,23845,22874,23845
