,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
0,2022-01-01,2호선,구로디지털단지,18363,18352,36715
1,2022-01-01,2호선,신대방,11652,11727,23379
2,2022-01-01,2호선,신림,29564,29162,58726
3,2022-01-01,2호선,봉천,9207,8941,18148
4,2022-01-01,2호선,서울대입구,20142,20315,40457
5,2022-01-01,2호선,낙성대,11148,10973,22121
6,2022-01-01,2호선,사당,15292,16173,31465
7,2022-01-01,2호선,방배,4297,4484,8781
8,2022-01-01,2호선,서초,4010,3348,7358
9,2022-01-01,2호선,교대,6678,7333,14011
10,2022-01-01,2호선,강남,26200,24977,51177
11,2022-01-01,2호선,역삼,8239,8524,16763
12,2022-01-01,2호선,선릉,9197,7746,16943
13,2022-01-01,2호선,삼성,15003,13937,28940
14,2022-01-01,2호선,종합운동장,3428,3504,6932
15,2022-01-01,2호선,잠실새내,8404,8750,17154
16,2022-01-01,2호선,잠실,35454,33619,69073
17,2022-01-01,2호선,잠실나루,3594,3660,7254
18,2022-01-01,2호선,강변,14225,13711,27936
19,2022-01-01,2호선,구의,8872,8862,17734
20,2022-01-01,2호선,건대입구,21954,23039,44993
21,2022-01-01,2호선,성수,9220,10042,19262
22,2022-01-01,2호선,뚝섬,6067,5964,12031
23,2022-01-01,2호선,한양대,1359,1517,2876
24,2022-01-01,2호선,왕십리,6953,6214,13167
25,2022-01-01,2호선,상왕십리,5212,5043,10255
26,2022-01-01,2호선,신당,6015,6529,12544
27,2022-01-01,2호선,동대문역사문화공원,5620,6213,11833
28,2022-01-01,2호선,을지로4가,2568,2350,4918
29,2022-01-01,2호선,을지로3가,5883,5290,11173
30,2022-01-01,2호선,을지로입구,10825,9485,20310
31,2022-01-01,2호선,시청,4137,2961,7098
32,2022-01-01,2호선,이대,4692,4938,9630
33,2022-01-01,2호선,신촌,15120,14485,29605
34,2022-01-01,2호선,홍대입구,38842,38438,77280
35,2022-01-01,2호선,합정,13993,14840,28833
36,2022-01-01,2호선,당산,6288,7044,13332
37,2022-01-01,2호선,영등포구청,5631,5554,11185
38,2022-01-01,2호선,문래,5480,5672,11152
39,2022-01-01,2호선,신도림,18150,18655,36805
40,2022-01-01,2호선,대림,10717,11703,22420
41,2022-01-01,2호선,아현,3624,3682,7306
42,2022-01-01,2호선,충정로,2661,2761,5422
43,2022-01-01,2호선,용답,1334,1385,2719
44,2022-01-01,2호선,신답,512,551,1063
45,2022-01-01,2호선,신설동,1801,1806,3607
46,2022-01-01,2호선,도림천,332,348,680
47,2022-01-01,2호선,양천구청,2299,2518,4817
48,2022-01-01,2호선,신정네거리,3834,4073,7907
49,2022-01-01,2호선,용두,889,882,1771
50,2022-01-02,2호선,시청,4292,3507,7799
51,2022-01-02,2호선,용두,957,998,1955
52,2022-01-02,2호선,신정네거리,4437,4479,8916
53,2022-01-02,2호선,양천구청,2756,2825,5581
54,2022-01-02,2호선,도림천,379,418,797
55,2022-01-02,2호선,신설동,2298,2550,4848
56,2022-01-02,2호선,신답,602,633,1235
57,2022-01-02,2호선,용답,1387,1507,2894
58,2022-01-02,2호선,충정로,2847,3021,5868
59,2022-01-02,2호선,아현,4335,4418,8753
60,2022-01-02,2호선,이대,5374,6263,11637
61,2022-01-02,2호선,신촌,17755,17927,35682
62,2022-01-02,2호선,홍대입구,39667,39606,79273
63,2022-01-02,2호선,합정,16022,16990,33012
64,2022-01-02,2호선,당산,6727,7314,14041
65,2022-01-02,2호선,영등포구청,6306,6771,13077
66,2022-01-02,2호선,문래,5972,6236,12208
