사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,3호선,가락시장,2769,2734,2769,2734
202201,3호선,경복궁,7916,8217,7916,8217
202201,3호선,경찰병원,2071,2017,2071,2017
202201,3호선,고속터미널,21392,21318,21392,21318
202201,3호선,교대,2419,1533,2419,1533
202201,3호선,구파발,8761,9006,8761,9006
202201,3호선,금호,2920,2819,2920,2819
202201,3호선,남부터미널,8813,8988,8813,8988
202201,3호선,녹번,5319,4904,5319,4904
202201,3호선,대곡,721,534,721,534
202201,3호선,대청,3224,2903,3224,2903
202201,3호선,대치,4906,5067,4906,5067
202201,3호선,대화,4677,4190,4677,4190
202201,3호선,도곡,1330,1263,1330,1263
202201,3호선,독립문,3120,3377,3120,3377
202201,3호선,동대입구,3319,3865,3319,3865
202201,3호선,마두,2568,2642,2568,2642
202201,3호선,매봉,2829,2774,2829,2774
202201,3호선,무악재,1416,1550,1416,1550
202201,3호선,백석,4287,4281,4287,4281
202201,3호선,불광,7261,8298,7261,8298
202201,3호선,삼송,8752,8588,8752,8588
202201,3호선,수서,7370,7076,7370,7076
202201,3호선,신사,9269,9133,9269,9133
202201,3호선,안국,6901,7218,6901,7218
202201,3호선,압구정,7726,7982,7726,7982
202201,3호선,약수,4669,4528,4669,4528
202201,3호선,양재,8646,9105,8646,9105
202201,3호선,연신내,16671,15993,16671,15993
202201,3호선,오금,1789,1782,1789,1782
202201,3호선,옥수,3543,3641,3543,3641
202201,3호선,원당,4609,4594,4609,4594
202201,3호선,원흥,3952,3997,3952,3997
202201,3호선,을지로3가,2345,2163,2345,2163
202201,3호선,일원,3321,2803,3321,2803
202201,3호선,잠원,1488,1587,1488,1587
202201,3호선,정발산,3824,3861,3824,3861
202201,3호선,종로3가,3034,4181,3034,4181
202201,3호선,주엽,3259,3354,3259,3354
202201,3호선,지축,1580,1532,1580,1532
202201,3호선,학여울,461,473,461,473
202201,3호선,홍제,7002,6640,7002,6640
202201,3호선,화정,7575,7999,7575,7999
202201,3호선,가락시장,3140,3412,3140,3412
202201,3호선,경복궁,8101,8467,8101,8467
202201,3호선,경찰병원,2186,2420,2186,2420
202201,3호선,고속터미널,39814,30429,39814,30429
202201,3호선,교대,3241,2139,3241,2139
202201,3호선,구파발,9439,9582,9439,9582
202201,3호선,금호,3556,3472,3556,3472
202201,3호선,남부터미널,12278,11483,12278,11483
202201,3호선,녹번,6065,5509,6065,5509
202201,3호선,대곡,795,635,795,635
202201,3호선,대청,3550,3577,3550,3577
202201,3호선,대치,5248,4598,5248,4598
202201,3호선,대화,5218,4771,5218,4771
202201,3호선,도곡,1612,1769,1612,1769
202201,3호선,독립문,3143,3493,3143,3493
202201,3호선,동대입구,4375,4970,4375,4970
202201,3호선,마두,2848,2806,2848,2806
