사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220109,우이신설선,성신여대입구(돈암),2081,2280,2081,2280
20220109,우이신설선,보문,844,846,844,846
20220109,우이신설선,신설동,1053,1034,1053,1034
20220110,우이신설선,신설동,2080,1976,2080,1976
20220110,우이신설선,보문,1443,1428,1443,1428
20220110,우이신설선,성신여대입구(돈암),3091,3430,3091,3430
20220110,우이신설선,정릉,4401,4057,4401,4057
20220110,우이신설선,북한산보국문,5608,5437,5608,5437
20220110,우이신설선,솔샘,5676,5404,5676,5404
20220110,우이신설선,삼양사거리,2428,2425,2428,2425
20220110,우이신설선,삼양,1911,2060,1911,2060
20220110,우이신설선,화계,3221,3063,3221,3063
20220110,우이신설선,가오리,3959,3941,3959,3941
20220110,우이신설선,4.19민주묘지,2592,2577,2592,2577
20220110,우이신설선,솔밭공원,2415,2279,2415,2279
20220110,우이신설선,북한산우이,2344,2117,2344,2117
20220111,우이신설선,북한산우이,2233,1980,2233,1980
20220111,우이신설선,4.19민주묘지,2451,2486,2451,2486
20220111,우이신설선,가오리,3908,3890,3908,3890
20220111,우이신설선,화계,3191,3042,3191,3042
20220111,우이신설선,삼양,1907,2015,1907,2015
20220111,우이신설선,삼양사거리,2318,2356,2318,2356
20220111,우이신설선,솔샘,5791,5447,5791,5447
20220111,우이신설선,북한산보국문,5650,5512,5650,5512
20220111,우이신설선,정릉,4419,4185,4419,4185
20220111,우이신설선,성신여대입구(돈암),3137,3462,3137,3462
20220111,우이신설선,보문,1446,1423,1446,1423
20220111,우이신설선,신설동,1931,1894,1931,1894
20220111,우이신설선,솔밭공원,2377,2281,2377,2281
20220112,우이신설선,북한산우이,2277,1919,2277,1919
20220112,우이신설선,신설동,2008,1876,2008,1876
20220112,우이신설선,보문,1442,1454,1442,1454
20220112,우이신설선,성신여대입구(돈암),3076,3332,3076,3332
20220112,우이신설선,정릉,4389,4157,4389,4157
20220112,우이신설선,북한산보국문,5623,5536,5623,5536
20220112,우이신설선,솔샘,5722,5395,5722,5395
20220112,우이신설선,삼양사거리,2248,2318,2248,2318
20220112,우이신설선,삼양,1822,1929,1822,1929
20220112,우이신설선,화계,3134,3070,3134,3070
20220112,우이신설선,가오리,3836,3788,3836,3788
20220112,우이신설선,4.19민주묘지,2555,2415,2555,2415
20220112,우이신설선,솔밭공원,2273,2241,2273,2241
20220113,우이신설선,북한산우이,2268,1947,2268,1947
20220113,우이신설선,솔밭공원,2335,2242,2335,2242
20220113,우이신설선,4.19민주묘지,2485,2367,2485,2367
20220113,우이신설선,가오리,3766,3868,3766,3868
20220113,우이신설선,화계,3130,3057,3130,3057
20220113,우이신설선,삼양,1841,1953,1841,1953
20220113,우이신설선,삼양사거리,2248,2323,2248,2323
20220113,우이신설선,솔샘,5627,5396,5627,5396
20220113,우이신설선,북한산보국문,5658,5551,5658,5551
20220113,우이신설선,정릉,4353,4010,4353,4010
20220113,우이신설선,성신여대입구(돈암),3172,3438,3172,3438
20220113,우이신설선,보문,1411,1425,1411,1425
20220113,우이신설선,신설동,1976,1912,1976,1912
20220114,우이신설선,신설동,2091,1962,2091,1962
20220114,우이신설선,보문,1434,1458,1434,1458
20220114,우이신설선,성신여대입구(돈암),3198,3579,3198,3579
20220114,우이신설선,정릉,4496,4114,4496,4114
20220114,우이신설선,북한산보국문,5807,5621,5807,5621
20220114,우이신설선,솔샘,5668,5282,5668,5282
20220114,우이신설선,삼양사거리,2402,2433,2402,2433
20220114,우이신설선,삼양,1980,2108,1980,2108
20220114,우이신설선,화계,3303,3060,3303,3060
20220114,우이신설선,가오리,3941,3875,3941,3875
20220114,우이신설선,4.19민주묘지,2669,2480,2669,2480
