사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,5호선,왕십리,4152,5095
202001,5호선,우장산,11887,11661
202001,5호선,을지로4가,4220,4572
202001,5호선,장한평,13592,13809
202001,5호선,종로3가,17845,17435
202001,5호선,천호,19375,19587
202001,5호선,청구,3000,2664
202001,5호선,충정로,2232,2130
202001,5호선,행당,6667,5764
202001,5호선,화곡,23575,21458
202001,6호선,고려대,6519,6196
202001,6호선,공덕,12325,11623
202001,6호선,광흥창,6341,5858
202001,6호선,구산,6087,4547
202001,6호선,녹사평,5593,6578
202001,6호선,대흥,6073,6180
202001,6호선,독바위,2305,2573
202001,6호선,돌곶이,6590,5976
202001,6호선,동묘앞,9103,8714
202001,6호선,디지털미디어시티,8392,8429
202001,6호선,마포구청,10740,9298
202001,6호선,망원,13202,14613
202001,6호선,버티고개,1742,1791
202001,6호선,보문,5976,5190
202001,6호선,봉화산,6863,6362
202001,6호선,불광,4571,4155
202001,6호선,삼각지,6195,4440
202001,6호선,상수,9711,11995
202001,6호선,상월곡,4542,3945
202001,6호선,새절,10395,9903
202001,6호선,석계,10386,10229
202001,6호선,신당,7188,6013
202001,6호선,안암,8510,8270
202001,6호선,약수,2837,2950
202001,6호선,역촌,3198,3614
202001,6호선,연신내,1,0
202001,6호선,월곡,9435,9038
202001,6호선,월드컵경기장,4820,5062
202001,6호선,응암,14632,14074
202001,6호선,이태원,18738,24107
202001,6호선,증산,8427,7963
202001,6호선,창신,2461,1915
202001,6호선,청구,2704,2819
202001,6호선,태릉입구,4609,5071
202001,6호선,한강진,8930,10860
202001,6호선,합정,14282,13146
202001,6호선,화랑대,8688,6933
202001,6호선,효창공원앞,5140,4596
202001,7호선,가산디지털단지,17112,15715
202001,7호선,강남구청,10654,11757
202001,7호선,건대입구,14751,16074
202001,7호선,고속터미널,20839,16063
202001,7호선,공릉,9999,9971
202001,7호선,광명사거리,21627,21533
202001,7호선,군자,12375,9163
202001,7호선,굴포천,7352,7540
202001,7호선,까치울,5799,5570
202001,7호선,남구로,10329,10855
202001,7호선,남성,9052,8368
202001,7호선,내방,8939,8754
202001,7호선,노원,18491,19957
202001,7호선,논현,13150,14924
202001,7호선,대림,9491,10265
202001,7호선,도봉산,7218,9552
202001,7호선,뚝섬유원지,6361,6172
202001,7호선,마들,9585,8821
202001,7호선,먹골,9252,8668
202001,7호선,면목,12724,11932
202001,7호선,반포,5390,4961
202001,7호선,보라매,6873,6626
202001,7호선,부천시청,10937,10631
202001,7호선,부천종합운동장,3544,3097
202001,7호선,부평구청,8606,7259
202001,7호선,사가정,13796,13253
202001,7호선,삼산체육관,4264,3842
202001,7호선,상도,8671,7923
202001,7호선,상동,12824,13057
202001,7호선,상봉,15094,14458
202001,7호선,수락산,11288,10857
202001,7호선,숭실대입구,9716,9325
202001,7호선,신대방삼거리,12761,11817
202001,7호선,신중동,11750,11874
202001,7호선,신풍,9202,8877
202001,7호선,어린이대공원,15874,16199
202001,7호선,온수,6371,6461
202001,7호선,용마산,4792,4753
202001,7호선,이수,14563,14005
202001,7호선,장승배기,8369,8014
202001,7호선,장암,1745,940
202001,7호선,중계,11792,10692
202001,7호선,중곡,7748,7120
202001,7호선,중화,9023,8622
202001,7호선,천왕,7212,6562
202001,7호선,철산,19128,19505
202001,7호선,청담,13076,14074
202001,7호선,춘의,5727,5402
202001,7호선,태릉입구,7466,6535
202001,7호선,하계,15493,14405
202001,7호선,학동,12661,13501
202001,8호선,가락시장,6926,7538
202001,8호선,강동구청,7383,7403
202001,8호선,남한산성입구,10607,9148
202001,8호선,단대오거리,9023,8073
202001,8호선,모란,6471,5224
202001,8호선,몽촌토성,4285,4492
202001,8호선,문정,10337,10066
202001,8호선,복정,7783,6497
202001,8호선,산성,5108,4903
202001,8호선,석촌,6322,7631
202001,8호선,송파,7287,6850
202001,8호선,수진,5243,4892
202001,8호선,신흥,4637,5052
202001,8호선,암사,14258,12855
202001,8호선,잠실,16162,18111
202001,8호선,장지,15460,14451
202001,8호선,천호,16089,18619
202001,9호선,가양,15711,14897
202001,9호선,개화,1722,1391
202001,9호선,고속터미널,16148,24145
202001,9호선,공항시장,2450,2614
202001,9호선,구반포,2787,2888
202001,9호선,국회의사당,4969,4950
202001,9호선,김포공항,8941,12247
202001,9호선,노들,3773,3141
202001,9호선,노량진,28097,29704
202001,9호선,당산,14680,13628
202001,9호선,동작,1610,1346
202001,9호선,등촌,7661,7545
202001,9호선,마곡나루,8000,8000
202001,9호선,사평,2412,2194
202001,9호선,샛강,3175,3198
202001,9호선,선유도,3824,3680
202001,9호선,신논현,32898,34244
202001,9호선,신목동,2554,2263
202001,9호선,신반포,2189,2117
202001,9호선,신방화,5253,5018
202001,9호선,양천향교,6402,5999
202001,9호선,여의도,9468,8900
202001,9호선,염창,13142,12029
202001,9호선,증미,4453,4436
202001,9호선,흑석,7036,7145
202001,9호선2~3단계,둔촌오륜,550,550
202001,9호선2~3단계,봉은사,15832,16120
202001,9호선2~3단계,삼성중앙,3344,3271
202001,9호선2~3단계,삼전,5014,4663
202001,9호선2~3단계,석촌,6213,4958
202001,9호선2~3단계,석촌고분,4308,4017
202001,9호선2~3단계,선정릉,5175,5652
202001,9호선2~3단계,송파나루,3819,3909
202001,9호선2~3단계,언주,6213,5962
202001,9호선2~3단계,올림픽공원,8389,8303
202001,9호선2~3단계,종합운동장,3764,3147
202001,9호선2~3단계,중앙보훈병원,5127,4727
202001,9호선2~3단계,한성백제,2109,1850
202001,경강선,경기광주,5762,5289
202001,경강선,곤지암,2048,1730
202001,경강선,부발,1929,1588
202001,경강선,삼동,1584,1378
202001,경강선,세종대왕릉,342,321
202001,경강선,신둔도예촌,1141,1074
202001,경강선,여주,2048,2090
202001,경강선,이매,894,669
202001,경강선,이천,2787,2830
202001,경강선,초월,2287,2012
202001,경강선,판교,2936,2931
202001,경부선,가산디지털단지,6932,9446
202001,경부선,관악,7026,6600
202001,경부선,광명,2865,2192
202001,경부선,구로,15632,16373
202001,경부선,군포,5018,4512
202001,경부선,금정,21452,22032
202001,경부선,금천구청,9738,9448
202001,경부선,남영,7395,7314
202001,경부선,노량진,12218,10668
202001,경부선,당정,5083,4643
202001,경부선,대방,10649,10445
202001,경부선,독산,10167,9823
202001,경부선,두정,5456,5531
202001,경부선,명학,6430,6108
202001,경부선,병점,14087,13452
202001,경부선,서동탄,1466,1459
202001,경부선,서울역,8218,1538
202001,경부선,서정리,6194,5180
202001,경부선,석수,8813,7951
202001,경부선,성균관대,12514,12254
202001,경부선,성환,3545,3220
202001,경부선,세류,3488,3343
202001,경부선,세마,2730,2264
202001,경부선,송탄,5044,4638
202001,경부선,수원,46080,49620
202001,경부선,신길,7409,5944
202001,경부선,신도림,3296,3756
202001,경부선,안양,22657,23195
202001,경부선,영등포,54846,58246
202001,경부선,오산,10297,9705
202001,경부선,오산대,2729,2386
202001,경부선,용산,42929,43628
202001,경부선,의왕,7036,6744
202001,경부선,지제,2605,2207
202001,경부선,직산,794,720
202001,경부선,진위,1203,986
202001,경부선,천안,7489,7160
202001,경부선,평택,14851,14173
202001,경부선,화서,6389,6282
202001,경원선,가능,6030,5698
202001,경원선,광운대,7268,7070
202001,경원선,녹양,4214,3883
202001,경원선,녹천,3830,3077
202001,경원선,덕계,2062,1782
202001,경원선,덕정,5597,4898
202001,경원선,도봉,4893,4595
202001,경원선,도봉산,8934,5854
202001,경원선,동두천,1884,2217
202001,경원선,동두천중앙,3327,3242
202001,경원선,망월사,6250,6504
202001,경원선,방학,8247,8063
202001,경원선,보산,1741,1619
202001,경원선,서빙고,1433,1376
202001,경원선,석계,8592,9320
202001,경원선,소요산,4548,3328
202001,경원선,신이문,7227,6533
202001,경원선,양주,7638,6880
202001,경원선,옥수,34,33
202001,경원선,왕십리,14906,16943
202001,경원선,외대앞,8104,7680
202001,경원선,월계,5152,4644
202001,경원선,응봉,1512,1297
202001,경원선,의정부,21815,23764
202001,경원선,이촌,3490,2510
202001,경원선,지행,6714,6402
202001,경원선,창동,1,0
202001,경원선,청량리,18550,19272
202001,경원선,한남,3384,3289
202001,경원선,회룡,11219,11043
202001,경의선,가좌,4368,4092
202001,경의선,강매,2075,1852
202001,경의선,곡산,404,396
202001,경의선,공덕,3488,2419
202001,경의선,금릉,4101,3947
202001,경의선,금촌,6591,5935
202001,경의선,능곡,2793,2726
202001,경의선,디지털미디어시티,1975,1825
202001,경의선,문산,6358,5825
202001,경의선,백마,4901,4594
202001,경의선,서강대,1975,1926
202001,경의선,서울역,1768,1893
202001,경의선,수색,1559,1542
202001,경의선,신촌,500,536
202001,경의선,야당,4779,4512
202001,경의선,운정,5061,4584
202001,경의선,월롱,1366,1177
202001,경의선,일산,6790,6416
202001,경의선,탄현,6097,5734
202001,경의선,파주,1156,759
202001,경의선,풍산,4501,4148
202001,경의선,행신,6113,5954
202001,경의선,홍대입구,2517,3111
202001,경의선,화전,1510,1150
202001,경의선,효창공원앞,1899,2019
202001,경인선,간석,5431,4986
202001,경인선,개봉,20616,20033
202001,경인선,구일,14135,14656
202001,경인선,도원,2691,2664
202001,경인선,도화,3447,2960
202001,경인선,동암,15549,15833
202001,경인선,동인천,15200,14746
202001,경인선,백운,6916,6749
202001,경인선,부개,7685,7116
202001,경인선,부천,36913,38295
202001,경인선,부평,36817,41570
202001,경인선,소사,9892,9662
202001,경인선,송내,23895,23140
202001,경인선,역곡,24488,23769
202001,경인선,오류동,10784,9798
202001,경인선,온수,6027,5480
202001,경인선,인천,4682,4158
202001,경인선,제물포,8539,8170
202001,경인선,주안,19949,17805
202001,경인선,중동,8078,7446
202001,경춘선,가평,1902,1937
202001,경춘선,갈매,1951,1645
202001,경춘선,강촌,453,539
202001,경춘선,굴봉산,175,223
202001,경춘선,금곡,1139,1032
202001,경춘선,김유정,444,464
202001,경춘선,남춘천,3104,3133
202001,경춘선,대성리,690,785
202001,경춘선,마석,3200,3128
202001,경춘선,백양리,325,324
202001,경춘선,별내,2144,2105
202001,경춘선,사릉,2568,2324
202001,경춘선,상천,272,322
202001,경춘선,신내,1025,1150
202001,경춘선,천마산,1391,1316
202001,경춘선,청평,2046,1896
202001,경춘선,춘천,1944,1787
202001,경춘선,퇴계원,2857,2612
202001,경춘선,평내호평,4688,4641
202001,공항철도 1호선,검암,5966,5959
202001,공항철도 1호선,계양,8052,7258
202001,공항철도 1호선,공덕,2231,3398
202001,공항철도 1호선,공항화물청사,1633,1715
202001,공항철도 1호선,김포공항,10108,5491
202001,공항철도 1호선,디지털미디어시티,7122,6469
202001,공항철도 1호선,마곡나루,2636,2783
202001,공항철도 1호선,서울역,14880,12779
202001,공항철도 1호선,영종,2936,2867
202001,공항철도 1호선,운서,7259,7833
202001,공항철도 1호선,인천공항1터미널,16074,16738
202001,공항철도 1호선,인천공항2터미널,5582,5267
202001,공항철도 1호선,청라국제도시,4618,4416
202001,공항철도 1호선,홍대입구,14817,14439
202001,과천선,경마공원,13625,13930
202001,과천선,과천,4537,4066
202001,과천선,대공원,4370,4785
202001,과천선,범계,25927,25300
202001,과천선,선바위,6389,5115
202001,과천선,인덕원,19392,18868
202001,과천선,정부과천청사,6796,6287
202001,과천선,평촌,11827,11549
202001,분당선,가천대,5285,5870
202001,분당선,강남구청,6113,7273
202001,분당선,개포동,2791,2847
202001,분당선,구룡,1037,1020
202001,분당선,구성,3984,3893
202001,분당선,기흥,8141,7719
202001,분당선,대모산입구,2716,2329
202001,분당선,도곡,5200,4825
202001,분당선,망포,10754,9554
202001,분당선,매교,1774,1895
202001,분당선,매탄권선,3722,3374
202001,분당선,모란,26566,27577
202001,분당선,미금,13953,14560
202001,분당선,보정,2145,1830
202001,분당선,상갈,4881,4498
202001,분당선,서울숲,6653,6760
202001,분당선,서현,25584,25803
202001,분당선,선릉,6047,9958
202001,분당선,선정릉,4237,4333
202001,분당선,수내,10939,10323
202001,분당선,수서,12654,12548
202001,분당선,수원,8136,5948
202001,분당선,수원시청,12366,14853
202001,분당선,신갈,3659,3562
202001,분당선,압구정로데오,16232,18714
202001,분당선,야탑,23732,25151
202001,분당선,영통,8337,8130
202001,분당선,오리,10007,8157
202001,분당선,이매,5052,5114
202001,분당선,정자,12743,13153
202001,분당선,죽전,12227,13916
202001,분당선,청명,3312,3193
202001,분당선,태평,12760,12505
202001,분당선,한티,14882,14056
202001,수인선,남동인더스파크,970,822
202001,수인선,달월,43,38
202001,수인선,소래포구,4893,4857
202001,수인선,송도,2404,2275
202001,수인선,숭의,2877,2659
202001,수인선,신포,1553,1730
202001,수인선,연수,4884,4917
202001,수인선,원인재,3887,3919
202001,수인선,월곶,2128,2068
202001,수인선,인천,1238,2167
202001,수인선,인천논현,5151,5183
202001,수인선,인하대,4111,3793
202001,수인선,호구포,2575,2500
202001,안산선,고잔,7053,7018
202001,안산선,대야미,4212,3514
202001,안산선,반월,4267,3690
202001,안산선,산본,15782,16761
202001,안산선,상록수,16667,15921
202001,안산선,수리산,3295,2712
202001,안산선,신길온천,1430,1315
202001,안산선,안산,12157,11969
202001,안산선,오이도,8971,8697
202001,안산선,정왕,6623,6667
202001,안산선,중앙,16613,17855
202001,안산선,초지,3338,3254
202001,안산선,한대앞,7074,6845
202001,우이신설선,4.19민주묘지,2230,2064
202001,우이신설선,가오리,3227,2925
202001,우이신설선,보문,1339,1331
202001,우이신설선,북한산보국문,5117,4407
202001,우이신설선,북한산우이,3116,3178
202001,우이신설선,삼양,1633,1636
202001,우이신설선,삼양사거리,1999,2026
202001,우이신설선,성신여대입구,3181,3763
202001,우이신설선,솔밭공원,1957,1789
202001,우이신설선,솔샘,4259,3730
202001,우이신설선,신설동,1474,1488
202001,우이신설선,정릉,3913,3286
202001,우이신설선,화계,2663,2459
202001,일산선,대곡,1249,1130
202001,일산선,대화,11371,9656
202001,일산선,마두,6434,6478
202001,일산선,백석,9805,9797
202001,일산선,삼송,15413,14156
202001,일산선,원당,9947,9177
202001,일산선,원흥,7241,6579
202001,일산선,정발산,8294,9391
202001,일산선,주엽,7939,7933
202001,일산선,화정,16054,16395
202001,장항선,배방,1126,982
202001,장항선,봉명,998,967
202001,장항선,신창,1078,999
202001,장항선,쌍용,1936,1703
202001,장항선,아산,2790,2639
202001,장항선,온양온천,6678,6862
202001,중앙선,구리,12111,12387
202001,중앙선,국수,625,641
202001,중앙선,덕소,5548,5222
202001,중앙선,도농,7747,7132
202001,중앙선,도심,1904,1705
202001,중앙선,망우,7186,7029
202001,중앙선,상봉,5649,5496
202001,중앙선,신원,161,174
202001,중앙선,아신,527,542
202001,중앙선,양수,1891,1790
202001,중앙선,양원,1190,1214
202001,중앙선,양정,607,499
202001,중앙선,양평,2771,2970
202001,중앙선,오빈,291,311
202001,중앙선,용문,2062,2119
202001,중앙선,운길산,755,871
202001,중앙선,원덕,341,340
202001,중앙선,중랑,4855,4632
202001,중앙선,지평,40,49
202001,중앙선,팔당,1049,1083
202001,중앙선,회기,23138,22031
202001,1호선,동대문,12340,14602
202001,1호선,동묘앞,13871,14382
202001,1호선,서울역,38247,34335
202001,1호선,시청,12128,11878
202001,1호선,신설동,9598,9353
202001,1호선,제기동,13623,14098
202001,1호선,종각,20424,17508
202001,1호선,종로3가,21119,19316
202001,1호선,종로5가,12773,12485
202001,1호선,청량리,18178,18398
202001,2호선,강남,52620,51683
202001,2호선,강변,31835,32681
202001,2호선,건대입구,33806,35508
202001,2호선,교대,13379,14819
202001,2호선,구로디지털단지,31980,31694
202001,2호선,구의,13278,13009
202001,2호선,낙성대,17759,18341
202001,2호선,당산,10306,11193
202001,2호선,대림,21292,21602
202001,2호선,도림천,496,501
202001,2호선,동대문역사문화공원,12109,14645
202001,2호선,뚝섬,9804,9852
202001,2호선,문래,8454,8563
202001,2호선,방배,8666,9059
202001,2호선,봉천,14416,13872
202001,2호선,사당,26437,28988
202001,2호선,삼성,31830,31633
202001,2호선,상왕십리,7662,7476
202001,2호선,서울대입구,31948,32777
202001,2호선,서초,15678,14749
202001,2호선,선릉,15439,13520
202001,2호선,성수,11150,11912
202001,2호선,시청,8651,7108
202001,2호선,신답,806,898
202001,2호선,신당,9440,10098
202001,2호선,신대방,18559,17978
202001,2호선,신도림,37315,37526
202001,2호선,신림,45798,45068
202001,2호선,신설동,4066,3845
202001,2호선,신정네거리,5642,5707
202001,2호선,신촌,31549,30672
202001,2호선,아현,5879,5932
202001,2호선,양천구청,3870,4076
202001,2호선,역삼,13941,14846
202001,2호선,영등포구청,9278,9467
202001,2호선,왕십리,11529,10287
202001,2호선,용답,1916,1919
202001,2호선,용두,1267,1284
202001,2호선,을지로3가,10926,10811
202001,2호선,을지로4가,4583,4497
202001,2호선,을지로입구,29442,27887
202001,2호선,이대,10211,10841
202001,2호선,잠실,59763,55702
202001,2호선,잠실나루,7041,7200
202001,2호선,잠실새내,13524,14285
202001,2호선,종합운동장,7404,8002
202001,2호선,충정로,4646,4678
202001,2호선,한양대,3074,3483
202001,2호선,합정,23597,24079
202001,2호선,홍대입구,70489,70084
202001,3호선,가락시장,4659,4845
202001,3호선,경복궁,13690,14125
202001,3호선,경찰병원,3464,3410
202001,3호선,고속터미널,55120,52535
202001,3호선,교대,5042,3011
202001,3호선,구파발,13763,13946
202001,3호선,금호,5256,4964
202001,3호선,남부터미널,18505,19554
202001,3호선,녹번,7510,6650
202001,3호선,대청,4921,4691
202001,3호선,대치,7254,6482
202001,3호선,도곡,2568,2658
202001,3호선,독립문,5360,5717
202001,3호선,동대입구,6890,7949
202001,3호선,매봉,4415,4297
202001,3호선,무악재,2157,2326
202001,3호선,불광,11326,13497
202001,3호선,수서,11647,11825
202001,3호선,신사,17917,18149
202001,3호선,안국,12912,13868
202001,3호선,압구정,17776,18210
202001,3호선,약수,8215,7899
202001,3호선,양재,17568,19256
202001,3호선,연신내,26339,24829
202001,3호선,오금,3410,3277
202001,3호선,옥수,5658,6124
202001,3호선,을지로3가,4417,4439
202001,3호선,일원,4287,4679
202001,3호선,잠원,3200,3253
202001,3호선,종로3가,4817,6875
202001,3호선,지축,1127,1171
202001,3호선,학여울,1368,1443
202001,3호선,홍제,11184,10684
202001,4호선,길음,12710,12303
202001,4호선,남태령,933,686
202001,4호선,노원,15336,16749
202001,4호선,당고개,8785,8233
202001,4호선,동대문,10544,10773
202001,4호선,동대문역사문화공원,14594,13285
202001,4호선,동작,1447,1554
202001,4호선,명동,28472,31111
202001,4호선,미아,9877,9241
202001,4호선,미아사거리,19755,18792
202001,4호선,사당,18298,17166
202001,4호선,삼각지,2586,3177
202001,4호선,상계,12027,11146
202001,4호선,서울역,6567,15715
202001,4호선,성신여대입구,15162,14275
202001,4호선,수유,23673,22734
202001,4호선,숙대입구,9860,9294
202001,4호선,신용산,8333,8528
202001,4호선,쌍문,19943,17532
202001,4호선,이촌,7493,8084
202001,4호선,창동,18530,19591
202001,4호선,총신대입구,12795,13975
202001,4호선,충무로,12119,11865
202001,4호선,한성대입구,9074,9074
202001,4호선,혜화,31384,32505
202001,4호선,회현,13768,14329
202001,5호선,강동,11576,10588
202001,5호선,개롱,3684,4056
202001,5호선,개화산,3200,3297
202001,5호선,거여,4302,4234
202001,5호선,고덕,4422,4641
202001,5호선,공덕,5149,5138
202001,5호선,광나루,9171,8814
202001,5호선,광화문,16950,16875
202001,5호선,군자,6822,7575
202001,5호선,굽은다리,6115,5795
202001,5호선,길동,4338,4420
202001,5호선,김포공항,7358,7074
202001,5호선,까치산,18271,17747
202001,5호선,답십리,8897,8321
202001,5호선,동대문역사문화공원,858,1050
202001,5호선,둔촌동,6143,6179
202001,5호선,마곡,2653,2727
202001,5호선,마장,3491,3374
202001,5호선,마천,3477,3740
202001,5호선,마포,5610,5644
202001,5호선,명일,5264,5248
202001,5호선,목동,9629,9840
202001,5호선,발산,9410,10013
202001,5호선,방이,4610,4413
202001,5호선,방화,4438,4286
202001,5호선,상일동,7087,6899
202001,5호선,서대문,6181,6117
202001,5호선,송정,4460,4589
202001,5호선,신금호,3488,3607
202001,5호선,신길,1677,1856
202001,5호선,신정,7304,6231
202001,5호선,아차산,10905,10841
202001,5호선,애오개,3137,3229
202001,5호선,양평,2754,2871
202001,5호선,여의나루,4064,4133
202001,5호선,여의도,6210,6722
