사용일자,호선명,지하철역,승차총승객수,하차총승객수
202010,경인선,온수,36656,34209
202010,경인선,인천,38107,31830
202010,경인선,제물포,52524,49815
202010,경인선,주안,113650,101195
202010,경인선,중동,47618,44678
202011,경인선,간석,29213,27816
202011,경인선,개봉,117347,116109
202011,경인선,구일,33700,33091
202011,경인선,도원,16024,16088
202011,경인선,도화,19894,18331
202011,경인선,동암,91145,90904
202011,경인선,동인천,83314,80721
202011,경인선,백운,38800,38465
202011,경인선,부개,43592,41150
202011,경인선,부천,206520,209563
202011,경인선,부평,202802,216481
202011,경인선,소사,60197,57757
202011,경인선,송내,130672,128187
202011,경인선,역곡,139719,137503
202011,경인선,오류동,66232,60870
202011,경인선,온수,35414,33476
202011,경인선,인천,29927,24301
202011,경인선,제물포,50043,48088
202011,경인선,주안,111944,99387
202011,경인선,중동,45943,43113
202012,경인선,간석,19270,18507
202012,경인선,개봉,74399,75044
202012,경인선,구일,18887,18359
202012,경인선,도원,10550,10825
202012,경인선,도화,14301,13505
202012,경인선,동암,60780,61546
202012,경인선,동인천,53227,52364
202012,경인선,백운,25560,25398
202012,경인선,부개,28995,27776
202012,경인선,부천,135423,136654
202012,경인선,부평,126456,133157
202012,경인선,소사,37380,35457
202012,경인선,송내,80519,80629
202012,경인선,역곡,91149,91620
202012,경인선,오류동,42819,40331
202012,경인선,온수,21548,20834
202012,경인선,인천,15962,13040
202012,경인선,제물포,33203,32143
202012,경인선,주안,73482,66453
202012,경인선,중동,30434,28847
