,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
110,2020-01-08,공항철도,인천공항2터미널,5390,4815,10205
111,2020-01-08,공항철도,영종,3052,3136,6188
112,2020-01-09,공항철도,서울역,12892,10708,23600
113,2020-01-09,공항철도,공덕,2759,3685,6444
114,2020-01-09,공항철도,홍대입구,11889,12165,24054
115,2020-01-09,공항철도,디지털미디어시티,16625,14632,31257
116,2020-01-09,공항철도,마곡나루,8228,7250,15478
117,2020-01-09,공항철도,김포공항,12266,7285,19551
118,2020-01-09,공항철도,계양,11141,10085,21226
119,2020-01-09,공항철도,검암,9058,8628,17686
120,2020-01-09,공항철도,청라국제도시,7774,7276,15050
121,2020-01-09,공항철도,운서,7879,8018,15897
122,2020-01-09,공항철도,공항화물청사,2943,3313,6256
123,2020-01-09,공항철도,인천공항1터미널,15464,15224,30688
124,2020-01-09,공항철도,인천공항2터미널,5429,4747,10176
125,2020-01-09,공항철도,영종,3174,3244,6418
126,2020-01-10,공항철도,서울역,15248,13439,28687
127,2020-01-10,공항철도,공덕,2927,3914,6841
128,2020-01-10,공항철도,홍대입구,13201,14203,27404
129,2020-01-10,공항철도,디지털미디어시티,16084,14141,30225
130,2020-01-10,공항철도,마곡나루,8791,7438,16229
131,2020-01-10,공항철도,김포공항,13051,7165,20216
132,2020-01-10,공항철도,계양,11462,10203,21665
133,2020-01-10,공항철도,검암,9490,8911,18401
134,2020-01-10,공항철도,청라국제도시,8222,7478,15700
135,2020-01-10,공항철도,운서,8376,8477,16853
136,2020-01-10,공항철도,공항화물청사,2987,3171,6158
137,2020-01-10,공항철도,인천공항1터미널,17452,16085,33537
138,2020-01-10,공항철도,인천공항2터미널,5991,5113,11104
139,2020-01-10,공항철도,영종,3263,3430,6693
140,2020-01-11,공항철도,서울역,14295,13627,27922
141,2020-01-11,공항철도,공덕,2365,3639,6004
142,2020-01-11,공항철도,홍대입구,15501,15634,31135
143,2020-01-11,공항철도,디지털미디어시티,7359,6563,13922
144,2020-01-11,공항철도,마곡나루,2895,3176,6071
145,2020-01-11,공항철도,김포공항,11103,5594,16697
146,2020-01-11,공항철도,계양,8423,7497,15920
147,2020-01-11,공항철도,검암,6527,6228,12755
148,2020-01-11,공항철도,청라국제도시,5193,4855,10048
149,2020-01-11,공항철도,운서,7453,7744,15197
150,2020-01-11,공항철도,공항화물청사,1716,1830,3546
151,2020-01-11,공항철도,인천공항1터미널,18429,15796,34225
152,2020-01-11,공항철도,인천공항2터미널,6312,4764,11076
153,2020-01-11,공항철도,영종,3039,3165,6204
154,2020-01-12,공항철도,서울역,14322,11965,26287
155,2020-01-12,공항철도,공덕,1663,2222,3885
156,2020-01-12,공항철도,홍대입구,12951,11401,24352
157,2020-01-12,공항철도,디지털미디어시티,4215,4217,8432
158,2020-01-12,공항철도,마곡나루,1805,2163,3968
159,2020-01-12,공항철도,김포공항,9380,5243,14623
160,2020-01-12,공항철도,계양,5878,5830,11708
161,2020-01-12,공항철도,검암,4768,4889,9657
162,2020-01-12,공항철도,청라국제도시,3580,3574,7154
163,2020-01-12,공항철도,운서,6214,7130,13344
164,2020-01-12,공항철도,공항화물청사,1412,1524,2936
165,2020-01-12,공항철도,인천공항1터미널,15619,16545,32164
166,2020-01-12,공항철도,인천공항2터미널,6126,4956,11082
167,2020-01-12,공항철도,영종,2386,2398,4784
168,2020-01-13,공항철도,서울역,14014,11748,25762
169,2020-01-13,공항철도,공덕,2736,3443,6179
170,2020-01-13,공항철도,홍대입구,12168,11512,23680
171,2020-01-13,공항철도,디지털미디어시티,15392,13792,29184
172,2020-01-13,공항철도,마곡나루,7952,7113,15065
173,2020-01-13,공항철도,김포공항,11696,7249,18945
174,2020-01-13,공항철도,계양,11047,10101,21148
175,2020-01-13,공항철도,검암,9000,8472,17472
176,2020-01-13,공항철도,청라국제도시,7722,7133,14855
177,2020-01-13,공항철도,운서,7899,8280,16179
178,2020-01-13,공항철도,공항화물청사,2908,3194,6102
