,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
0,2020-01-01,6호선,봉화산,3818,3883,7701
1,2020-01-01,6호선,화랑대,4859,4226,9085
2,2020-01-01,6호선,태릉입구,2554,3063,5617
3,2020-01-01,6호선,석계,6045,6302,12347
4,2020-01-01,6호선,돌곶이,3885,4020,7905
5,2020-01-01,6호선,상월곡,2571,2547,5118
6,2020-01-01,6호선,월곡,5348,5454,10802
7,2020-01-01,6호선,고려대,3752,3921,7673
8,2020-01-01,6호선,안암,5032,5115,10147
9,2020-01-01,6호선,보문,3492,3441,6933
10,2020-01-01,6호선,창신,1357,1310,2667
11,2020-01-01,6호선,동묘앞,5027,4467,9494
12,2020-01-01,6호선,신당,4246,3630,7876
13,2020-01-01,6호선,청구,1556,1656,3212
14,2020-01-01,6호선,약수,1466,1595,3061
15,2020-01-01,6호선,버티고개,1059,1194,2253
16,2020-01-01,6호선,한강진,3996,4340,8336
17,2020-01-01,6호선,이태원,18496,11098,29594
18,2020-01-01,6호선,녹사평,3579,3009,6588
19,2020-01-01,6호선,삼각지,2980,2411,5391
20,2020-01-01,6호선,효창공원앞,2820,2511,5331
21,2020-01-01,6호선,공덕,6602,6518,13120
22,2020-01-01,6호선,대흥,3117,3449,6566
23,2020-01-01,6호선,광흥창,3525,3510,7035
24,2020-01-01,6호선,상수,6403,6232,12635
25,2020-01-01,6호선,합정,7952,7259,15211
26,2020-01-01,6호선,망원,7081,7772,14853
27,2020-01-01,6호선,마포구청,6325,5723,12048
28,2020-01-01,6호선,월드컵경기장,5356,5405,10761
29,2020-01-01,6호선,디지털미디어시티,4788,5061,9849
30,2020-01-01,6호선,증산,5168,5443,10611
31,2020-01-01,6호선,새절,6152,6276,12428
32,2020-01-01,6호선,구산,3408,2705,6113
33,2020-01-01,6호선,독바위,1432,1778,3210
34,2020-01-01,6호선,불광,3146,2850,5996
35,2020-01-01,6호선,역촌,1906,2284,4190
36,2020-01-01,6호선,응암,8753,9341,18094
37,2020-01-02,6호선,응암,18944,18609,37553
38,2020-01-02,6호선,역촌,4268,4797,9065
39,2020-01-02,6호선,불광,5017,5036,10053
40,2020-01-02,6호선,독바위,3055,3221,6276
41,2020-01-02,6호선,구산,8258,6416,14674
42,2020-01-02,6호선,새절,14342,13562,27904
43,2020-01-02,6호선,증산,11015,10704,21719
44,2020-01-02,6호선,디지털미디어시티,15425,16866,32291
45,2020-01-02,6호선,월드컵경기장,5014,5258,10272
46,2020-01-02,6호선,마포구청,15521,13972,29493
47,2020-01-02,6호선,망원,15105,16254,31359
48,2020-01-02,6호선,합정,14538,14197,28735
49,2020-01-02,6호선,상수,10279,11671,21950
50,2020-01-02,6호선,광흥창,10685,10330,21015
51,2020-01-02,6호선,대흥,8959,9597,18556
52,2020-01-02,6호선,공덕,20931,20541,41472
53,2020-01-02,6호선,효창공원앞,7444,6805,14249
54,2020-01-02,6호선,삼각지,6891,5925,12816
55,2020-01-02,6호선,녹사평,5559,5632,11191
56,2020-01-02,6호선,이태원,13788,14854,28642
57,2020-01-02,6호선,한강진,8081,9576,17657
58,2020-01-02,6호선,버티고개,2626,2449,5075
59,2020-01-02,6호선,약수,4014,4152,8166
60,2020-01-02,6호선,청구,4005,4302,8307
61,2020-01-02,6호선,신당,8116,8744,16860
62,2020-01-02,6호선,동묘앞,8129,8597,16726
63,2020-01-02,6호선,창신,3967,3144,7111
64,2020-01-02,6호선,보문,7700,7192,14892
65,2020-01-02,6호선,안암,12296,12961,25257
66,2020-01-02,6호선,고려대,9431,9251,18682
67,2020-01-02,6호선,월곡,13061,12764,25825
68,2020-01-02,6호선,상월곡,7457,6811,14268
69,2020-01-02,6호선,돌곶이,9572,8945,18517
70,2020-01-02,6호선,석계,13741,14170,27911
71,2020-01-02,6호선,태릉입구,5829,6683,12512
72,2020-01-02,6호선,화랑대,13311,10102,23413
73,2020-01-02,6호선,봉화산,10867,9684,20551
74,2020-01-03,6호선,응암,19902,19384,39286
75,2020-01-03,6호선,역촌,4478,4926,9404
76,2020-01-03,6호선,불광,5270,5255,10525
77,2020-01-03,6호선,독바위,3167,3224,6391
78,2020-01-03,6호선,연신내,1,0,1
79,2020-01-03,6호선,구산,8761,6421,15182
80,2020-01-03,6호선,새절,15077,13933,29010
81,2020-01-03,6호선,증산,11639,10855,22494
82,2020-01-03,6호선,디지털미디어시티,16023,17202,33225
83,2020-01-03,6호선,월드컵경기장,5246,5493,10739
84,2020-01-03,6호선,마포구청,16260,14591,30851
85,2020-01-03,6호선,망원,16060,17484,33544
86,2020-01-03,6호선,합정,16228,16080,32308
87,2020-01-03,6호선,상수,12481,15036,27517
88,2020-01-03,6호선,광흥창,11071,10966,22037
89,2020-01-03,6호선,대흥,9585,9965,19550
90,2020-01-03,6호선,공덕,22266,21829,44095
91,2020-01-03,6호선,효창공원앞,7958,7151,15109
92,2020-01-03,6호선,삼각지,7466,6301,13767
93,2020-01-03,6호선,녹사평,6051,6394,12445
94,2020-01-03,6호선,이태원,16307,21245,37552
95,2020-01-03,6호선,한강진,8575,10335,18910
96,2020-01-03,6호선,버티고개,2688,2550,5238
97,2020-01-03,6호선,약수,4202,4278,8480
98,2020-01-03,6호선,청구,4199,4601,8800
99,2020-01-03,6호선,신당,9658,9575,19233
100,2020-01-03,6호선,동묘앞,8863,9024,17887
101,2020-01-03,6호선,창신,4033,3184,7217
102,2020-01-03,6호선,보문,8233,7490,15723
103,2020-01-03,6호선,안암,12937,12641,25578
104,2020-01-03,6호선,고려대,9960,9441,19401
105,2020-01-03,6호선,월곡,13647,13137,26784
106,2020-01-03,6호선,상월곡,7183,6196,13379
107,2020-01-03,6호선,돌곶이,9879,9077,18956
108,2020-01-03,6호선,석계,14671,15003,29674
109,2020-01-03,6호선,태릉입구,6303,7047,13350
110,2020-01-03,6호선,화랑대,13853,10308,24161
111,2020-01-03,6호선,봉화산,11037,9837,20874
112,2020-01-04,6호선,응암,14632,14074,28706
113,2020-01-04,6호선,역촌,3198,3614,6812
114,2020-01-04,6호선,불광,4571,4155,8726
115,2020-01-04,6호선,독바위,2305,2573,4878
116,2020-01-04,6호선,연신내,1,0,1
117,2020-01-04,6호선,구산,6087,4547,10634
118,2020-01-04,6호선,새절,10395,9903,20298
119,2020-01-04,6호선,증산,8427,7963,16390
120,2020-01-04,6호선,디지털미디어시티,8392,8429,16821
121,2020-01-04,6호선,월드컵경기장,4820,5062,9882
122,2020-01-04,6호선,마포구청,10740,9298,20038
123,2020-01-04,6호선,망원,13202,14613,27815
124,2020-01-04,6호선,합정,14282,13146,27428
125,2020-01-04,6호선,상수,9711,11995,21706
126,2020-01-04,6호선,광흥창,6341,5858,12199
127,2020-01-04,6호선,대흥,6073,6180,12253
128,2020-01-04,6호선,공덕,12325,11623,23948
129,2020-01-04,6호선,효창공원앞,5140,4596,9736
130,2020-01-04,6호선,삼각지,6195,4440,10635
131,2020-01-04,6호선,녹사평,5593,6578,12171
132,2020-01-04,6호선,이태원,18738,24107,42845
133,2020-01-04,6호선,한강진,8930,10860,19790
134,2020-01-04,6호선,버티고개,1742,1791,3533
135,2020-01-04,6호선,약수,2837,2950,5787
136,2020-01-04,6호선,청구,2704,2819,5523
137,2020-01-04,6호선,신당,7188,6013,13201
138,2020-01-04,6호선,동묘앞,9103,8714,17817
139,2020-01-04,6호선,창신,2461,1915,4376
140,2020-01-04,6호선,보문,5976,5190,11166
141,2020-01-04,6호선,안암,8510,8270,16780
142,2020-01-04,6호선,고려대,6519,6196,12715
143,2020-01-04,6호선,월곡,9435,9038,18473
144,2020-01-04,6호선,상월곡,4542,3945,8487
145,2020-01-04,6호선,돌곶이,6590,5976,12566
146,2020-01-04,6호선,석계,10386,10229,20615
147,2020-01-04,6호선,태릉입구,4609,5071,9680
148,2020-01-04,6호선,화랑대,8688,6933,15621
149,2020-01-04,6호선,봉화산,6863,6362,13225
150,2020-01-05,6호선,응암,10931,10761,21692
151,2020-01-05,6호선,역촌,2429,2759,5188
152,2020-01-05,6호선,불광,3754,3276,7030
153,2020-01-05,6호선,독바위,1710,2230,3940
154,2020-01-05,6호선,구산,4467,3418,7885
155,2020-01-05,6호선,새절,7919,7795,15714
156,2020-01-05,6호선,증산,6395,6341,12736
157,2020-01-05,6호선,디지털미디어시티,5944,6264,12208
158,2020-01-05,6호선,월드컵경기장,4050,4248,8298
159,2020-01-05,6호선,마포구청,8017,7188,15205
160,2020-01-05,6호선,망원,9902,10510,20412
161,2020-01-05,6호선,합정,10574,9649,20223
162,2020-01-05,6호선,상수,7377,8375,15752
163,2020-01-05,6호선,광흥창,5147,4942,10089
164,2020-01-05,6호선,대흥,4371,4577,8948
165,2020-01-05,6호선,공덕,7886,7192,15078
166,2020-01-05,6호선,효창공원앞,3716,3330,7046
167,2020-01-05,6호선,삼각지,4019,2970,6989
168,2020-01-05,6호선,녹사평,4380,4409,8789
169,2020-01-05,6호선,이태원,15430,13025,28455
170,2020-01-05,6호선,한강진,6998,7550,14548
171,2020-01-05,6호선,버티고개,1246,1290,2536
172,2020-01-05,6호선,약수,1821,1909,3730
173,2020-01-05,6호선,청구,1825,2010,3835
174,2020-01-05,6호선,신당,4665,5206,9871
175,2020-01-05,6호선,동묘앞,7321,7089,14410
176,2020-01-05,6호선,창신,1808,1646,3454
177,2020-01-05,6호선,보문,4525,4360,8885
178,2020-01-05,6호선,안암,5873,6259,12132
179,2020-01-05,6호선,고려대,4773,4646,9419
180,2020-01-05,6호선,월곡,7753,7412,15165
181,2020-01-05,6호선,상월곡,3817,3502,7319
182,2020-01-05,6호선,돌곶이,4954,4848,9802
183,2020-01-05,6호선,석계,7738,7725,15463
184,2020-01-05,6호선,태릉입구,3272,3881,7153
185,2020-01-05,6호선,화랑대,6231,5419,11650
186,2020-01-05,6호선,봉화산,5030,4850,9880
187,2020-01-06,6호선,응암,19468,19376,38844
188,2020-01-06,6호선,역촌,4478,5053,9531
189,2020-01-06,6호선,불광,4988,5080,10068
190,2020-01-06,6호선,독바위,3106,3274,6380
191,2020-01-06,6호선,구산,8642,6811,15453
192,2020-01-06,6호선,새절,14612,13949,28561
193,2020-01-06,6호선,증산,11282,11022,22304
194,2020-01-06,6호선,디지털미디어시티,15686,17239,32925
195,2020-01-06,6호선,월드컵경기장,4784,4936,9720
196,2020-01-06,6호선,마포구청,16291,14754,31045
197,2020-01-06,6호선,망원,15149,16288,31437
198,2020-01-06,6호선,합정,14413,13795,28208
199,2020-01-06,6호선,상수,9848,10810,20658
200,2020-01-06,6호선,광흥창,10878,10685,21563
201,2020-01-06,6호선,대흥,9716,10241,19957
202,2020-01-06,6호선,공덕,21503,21221,42724
203,2020-01-06,6호선,효창공원앞,7882,7285,15167
204,2020-01-06,6호선,삼각지,6401,5635,12036
205,2020-01-06,6호선,녹사평,5041,4972,10013
206,2020-01-06,6호선,이태원,12168,12545,24713
207,2020-01-06,6호선,한강진,6900,8113,15013
208,2020-01-06,6호선,버티고개,2596,2494,5090
209,2020-01-06,6호선,약수,4360,4435,8795
210,2020-01-06,6호선,청구,4189,4705,8894
211,2020-01-06,6호선,신당,9552,10092,19644
212,2020-01-06,6호선,동묘앞,9057,9480,18537
213,2020-01-06,6호선,창신,4084,3434,7518
214,2020-01-06,6호선,보문,8267,7512,15779
215,2020-01-06,6호선,안암,13830,13887,27717
216,2020-01-06,6호선,고려대,9845,9621,19466
217,2020-01-06,6호선,월곡,13740,13484,27224
218,2020-01-06,6호선,상월곡,6798,6236,13034
219,2020-01-06,6호선,돌곶이,10142,9442,19584
220,2020-01-06,6호선,석계,14149,14922,29071
221,2020-01-06,6호선,태릉입구,5923,6715,12638
222,2020-01-06,6호선,화랑대,13621,10322,23943
223,2020-01-06,6호선,봉화산,11099,10098,21197
224,2020-01-07,6호선,응암,18790,18754,37544
225,2020-01-07,6호선,역촌,4380,5070,9450
226,2020-01-07,6호선,불광,5030,4827,9857
227,2020-01-07,6호선,독바위,3111,3206,6317
228,2020-01-07,6호선,구산,8210,6548,14758
229,2020-01-07,6호선,새절,14244,13599,27843
230,2020-01-07,6호선,증산,11196,10916,22112
231,2020-01-07,6호선,디지털미디어시티,15367,16909,32276
232,2020-01-07,6호선,월드컵경기장,4321,4543,8864
233,2020-01-07,6호선,마포구청,16031,14690,30721
234,2020-01-07,6호선,망원,15218,16419,31637
235,2020-01-07,6호선,합정,14752,14043,28795
236,2020-01-07,6호선,상수,10192,11148,21340
237,2020-01-07,6호선,광흥창,10610,10593,21203
238,2020-01-07,6호선,대흥,9456,9953,19409
239,2020-01-07,6호선,공덕,21271,20745,42016
240,2020-01-07,6호선,효창공원앞,7900,7235,15135
241,2020-01-07,6호선,삼각지,6992,6189,13181
