,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
117,20200103,2호선,종합운동장,9904,10994,20898
118,20200103,2호선,삼성,71064,71867,142931
119,20200103,2호선,선릉,66502,59573,126075
120,20200103,2호선,역삼,59087,66668,125755
121,20200103,2호선,강남,126036,132511,258547
122,20200103,2호선,교대,41435,47168,88603
123,20200103,2호선,서초,24409,24276,48685
124,20200103,2호선,방배,20889,21244,42133
125,20200103,2호선,사당,48252,53045,101297
126,20200103,2호선,낙성대,32861,30836,63697
127,20200103,2호선,서울대입구,58647,55953,114600
128,20200103,2호선,봉천,28360,25802,54162
129,20200103,2호선,신림,76792,74880,151672
130,20200103,2호선,신대방,31384,29424,60808
131,20200103,2호선,구로디지털단지,73974,74596,148570
132,20200103,2호선,대림,31028,31363,62391
133,20200103,2호선,신도림,62801,62386,125187
134,20200103,2호선,문래,24430,24936,49366
135,20200103,2호선,영등포구청,26703,27070,53773
136,20200103,2호선,당산,23616,26876,50492
137,20200103,2호선,합정,38511,41981,80492
138,20200103,2호선,홍대입구,89087,99670,188757
139,20200103,2호선,신촌,51847,53776,105623
140,20200103,2호선,이대,18750,19345,38095
141,20200103,2호선,아현,12051,11359,23410
142,20200103,2호선,충정로,12217,12779,24996
143,20200103,2호선,용답,2996,2968,5964
144,20200103,2호선,신답,1859,2068,3927
145,20200103,2호선,신설동,4585,4589,9174
146,20200103,2호선,도림천,1376,1452,2828
147,20200103,2호선,양천구청,8245,8577,16822
148,20200103,2호선,신정네거리,10915,11318,22233
149,20200103,2호선,용두,2710,2803,5513
150,20200104,2호선,시청,13824,11463,25287
151,20200104,2호선,을지로입구,39435,38072,77507
152,20200104,2호선,을지로3가,13929,13706,27635
153,20200104,2호선,을지로4가,10390,10581,20971
154,20200104,2호선,동대문역사문화공원,15562,17194,32756
155,20200104,2호선,신당,12282,13130,25412
156,20200104,2호선,상왕십리,10909,10135,21044
157,20200104,2호선,왕십리,16356,14475,30831
158,20200104,2호선,한양대,5302,5392,10694
159,20200104,2호선,뚝섬,12705,12880,25585
160,20200104,2호선,성수,16731,18223,34954
161,20200104,2호선,건대입구,43701,49696,93397
162,20200104,2호선,구의,18989,17942,36931
163,20200104,2호선,강변,41804,40949,82753
164,20200104,2호선,잠실나루,9862,9510,19372
165,20200104,2호선,잠실,81999,77313,159312
166,20200104,2호선,잠실새내,20706,21959,42665
167,20200104,2호선,종합운동장,8787,9524,18311
168,20200104,2호선,삼성,45421,45965,91386
169,20200104,2호선,선릉,30318,27003,57321
170,20200104,2호선,역삼,22999,24662,47661
171,20200104,2호선,강남,87333,93257,180590
172,20200104,2호선,교대,22148,25326,47474
173,20200104,2호선,서초,13931,12945,26876
174,20200104,2호선,방배,12266,12551,24817
175,20200104,2호선,사당,39197,42750,81947
176,20200104,2호선,낙성대,24473,22402,46875
177,20200104,2호선,서울대입구,43847,42868,86715
178,20200104,2호선,봉천,20304,18491,38795
179,20200104,2호선,신림,60576,58649,119225
180,20200104,2호선,신대방,22971,21815,44786
181,20200104,2호선,구로디지털단지,44203,43499,87702
182,20200104,2호선,대림,23421,24746,48167
183,20200104,2호선,신도림,54259,54953,109212
184,20200104,2호선,문래,12699,13012,25711
185,20200104,2호선,영등포구청,14544,14770,29314
186,20200104,2호선,당산,15038,16330,31368
187,20200104,2호선,합정,31544,34922,66466
188,20200104,2호선,홍대입구,90634,102811,193445
189,20200104,2호선,신촌,44931,46748,91679
190,20200104,2호선,이대,14489,14887,29376
191,20200104,2호선,아현,8452,7894,16346
192,20200104,2호선,충정로,7232,7460,14692
193,20200104,2호선,용답,2251,2108,4359
194,20200104,2호선,신답,1201,1237,2438
195,20200104,2호선,신설동,4569,4221,8790
196,20200104,2호선,도림천,888,913,1801
197,20200104,2호선,양천구청,5414,5292,10706
198,20200104,2호선,신정네거리,8245,8304,16549
199,20200104,2호선,용두,1987,1996,3983
200,20200105,2호선,시청,8651,7108,15759
201,20200105,2호선,을지로입구,29442,27887,57329
202,20200105,2호선,을지로3가,10926,10811,21737
203,20200105,2호선,을지로4가,4583,4497,9080
204,20200105,2호선,동대문역사문화공원,12109,14645,26754
205,20200105,2호선,신당,9440,10098,19538
206,20200105,2호선,상왕십리,7662,7476,15138
207,20200105,2호선,왕십리,11529,10287,21816
208,20200105,2호선,한양대,3074,3483,6557
209,20200105,2호선,뚝섬,9804,9852,19656
210,20200105,2호선,성수,11150,11912,23062
211,20200105,2호선,건대입구,33806,35508,69314
212,20200105,2호선,구의,13278,13009,26287
213,20200105,2호선,강변,31835,32681,64516
214,20200105,2호선,잠실나루,7041,7200,14241
215,20200105,2호선,잠실,59763,55702,115465
216,20200105,2호선,잠실새내,13524,14285,27809
217,20200105,2호선,종합운동장,7404,8002,15406
