,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
113,2020-01-03,수인분당선,미금,19842,21255,41097
114,2020-01-03,수인분당선,오리,14653,12093,26746
115,2020-01-03,수인분당선,이매,6789,6626,13415
116,2020-01-03,수인분당선,보정,3126,2677,5803
117,2020-01-03,수인분당선,죽전,17411,18419,35830
118,2020-01-03,수인분당선,구성,5847,5707,11554
119,2020-01-03,수인분당선,신갈,5785,5591,11376
120,2020-01-03,수인분당선,기흥,11815,10974,22789
121,2020-01-03,수인분당선,상갈,6685,6157,12842
122,2020-01-03,수인분당선,청명,5247,4626,9873
123,2020-01-03,수인분당선,영통,10939,11059,21998
124,2020-01-03,수인분당선,망포,16845,15152,31997
125,2020-01-03,수인분당선,매탄권선,5494,4901,10395
126,2020-01-03,수인분당선,수원시청,13410,16738,30148
127,2020-01-03,수인분당선,매교,2813,3092,5905
128,2020-01-03,수인분당선,달월,77,52,129
129,2020-01-03,수인분당선,월곶,2571,2330,4901
130,2020-01-03,수인분당선,소래포구,5053,4781,9834
131,2020-01-03,수인분당선,인천논현,6859,7234,14093
132,2020-01-03,수인분당선,호구포,4001,3954,7955
133,2020-01-03,수인분당선,남동인더스파크,2264,2437,4701
134,2020-01-03,수인분당선,원인재,4875,4929,9804
135,2020-01-03,수인분당선,연수,5535,5514,11049
136,2020-01-03,수인분당선,송도,2919,2648,5567
137,2020-01-03,수인분당선,인하대,5963,5591,11554
138,2020-01-03,수인분당선,숭의,4188,3928,8116
139,2020-01-03,수인분당선,신포,2088,2146,4234
140,2020-01-03,수인분당선,인천,1065,1785,2850
141,2020-01-04,수인분당선,선릉,6047,9958,16005
142,2020-01-04,수인분당선,한티,14882,14056,28938
143,2020-01-04,수인분당선,도곡,5200,4825,10025
144,2020-01-04,수인분당선,구룡,1037,1020,2057
145,2020-01-04,수인분당선,개포동,2791,2847,5638
146,2020-01-04,수인분당선,대모산입구,2716,2329,5045
147,2020-01-04,수인분당선,수서,12654,12548,25202
148,2020-01-04,수인분당선,수원,8136,5948,14084
149,2020-01-04,수인분당선,서울숲,6653,6760,13413
150,2020-01-04,수인분당선,압구정로데오,16232,18714,34946
151,2020-01-04,수인분당선,강남구청,6113,7273,13386
152,2020-01-04,수인분당선,선정릉,4237,4333,8570
153,2020-01-04,수인분당선,가천대,5285,5870,11155
154,2020-01-04,수인분당선,태평,12760,12505,25265
155,2020-01-04,수인분당선,모란,26566,27577,54143
156,2020-01-04,수인분당선,야탑,23732,25151,48883
157,2020-01-04,수인분당선,서현,25584,25803,51387
158,2020-01-04,수인분당선,수내,10939,10323,21262
159,2020-01-04,수인분당선,정자,12743,13153,25896
