,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
103,20200108,우이신설선,성신여대입구(돈암),3824,4257,8081
104,20200109,우이신설선,북한산우이,2756,2357,5113
105,20200109,우이신설선,솔밭공원,2606,2638,5244
106,20200109,우이신설선,4.19민주묘지,2923,2766,5689
107,20200109,우이신설선,가오리,4655,4526,9181
108,20200109,우이신설선,화계,3637,3444,7081
109,20200109,우이신설선,삼양,2118,2221,4339
110,20200109,우이신설선,삼양사거리,2726,2807,5533
111,20200109,우이신설선,솔샘,6450,5850,12300
112,20200109,우이신설선,북한산보국문,6410,6125,12535
113,20200109,우이신설선,정릉,4864,4517,9381
114,20200109,우이신설선,성신여대입구(돈암),3906,4326,8232
115,20200109,우이신설선,보문,1730,1754,3484
116,20200109,우이신설선,신설동,2262,2333,4595
117,20200110,우이신설선,북한산우이,2560,2232,4792
118,20200110,우이신설선,솔밭공원,2716,2549,5265
119,20200110,우이신설선,4.19민주묘지,3021,2838,5859
120,20200110,우이신설선,가오리,4558,4308,8866
121,20200110,우이신설선,화계,3697,3421,7118
122,20200110,우이신설선,삼양,2224,2371,4595
123,20200110,우이신설선,삼양사거리,2738,2781,5519
124,20200110,우이신설선,솔샘,6593,6020,12613
125,20200110,우이신설선,북한산보국문,6730,6115,12845
126,20200110,우이신설선,정릉,5137,4638,9775
127,20200110,우이신설선,성신여대입구(돈암),4102,4589,8691
128,20200110,우이신설선,보문,1778,1749,3527
129,20200110,우이신설선,신설동,2362,2318,4680
130,20200111,우이신설선,북한산우이,3112,3158,6270
131,20200111,우이신설선,솔밭공원,2133,1980,4113
132,20200111,우이신설선,4.19민주묘지,3581,3179,6760
133,20200111,우이신설선,가오리,3340,3083,6423
134,20200111,우이신설선,화계,2745,2489,5234
135,20200111,우이신설선,삼양,1731,1725,3456
136,20200111,우이신설선,삼양사거리,2083,2109,4192
137,20200111,우이신설선,솔샘,4551,3834,8385
138,20200111,우이신설선,북한산보국문,5200,4635,9835
139,20200111,우이신설선,정릉,4124,3429,7553
140,20200111,우이신설선,성신여대입구(돈암),3220,3866,7086
141,20200111,우이신설선,보문,1355,1358,2713
142,20200111,우이신설선,신설동,1649,1592,3241
143,20200112,우이신설선,북한산우이,2891,2818,5709
144,20200112,우이신설선,솔밭공원,1678,1528,3206
145,20200112,우이신설선,4.19민주묘지,2424,2102,4526
146,20200112,우이신설선,가오리,2645,2473,5118
147,20200112,우이신설선,화계,2305,2233,4538
148,20200112,우이신설선,삼양,1265,1336,2601
149,20200112,우이신설선,삼양사거리,1620,1620,3240
150,20200112,우이신설선,솔샘,3205,2989,6194
151,20200112,우이신설선,북한산보국문,4277,3725,8002
152,20200112,우이신설선,정릉,3098,2696,5794
153,20200112,우이신설선,성신여대입구(돈암),2635,3021,5656
154,20200112,우이신설선,보문,1137,1177,2314
